,title,行驶距离(万公里),year,上牌时间,年检到期,保险到期,price,车辆级别,车身颜色,驱动方式,出厂日期,brands,label_price,label1_行驶距离
138,宝马3系 2016款 320Li 时尚型,7.0,2016,2016-01,2024-01,2024-01,15.6,中型车,白色,前置后驱,2016,宝马,14.10 - 16.07,6.01-9.01
139,奥迪A3 2016款 Limousine 35 TFSI 领英型,6.6,2016,2016-08,2023-08,2023-08,9.8,紧凑型车,白色,前置前驱,2016,奥迪,8.20 - 10.17,6.01-9.01
140,欧蓝德 2019款 2.0L 两驱畅享版 5座 国VI,5.7,2019,2019-02,2025-02,2024-02,10.3,紧凑型SUV,黑色,前置前驱,2019,欧蓝德,10.17 - 12.13,3.01-6.01
141,奥迪S3 2017款 S3  2.0T Limousine,8.4,2017,2017-04,2024-04,2024-04,16.98,紧凑型车,白色,前置四驱,2017,奥迪,16.07 - 18.03,6.01-9.01
142,唐新能源 2021款 DM 2.0T 四驱高性能版尊荣型,4.8,2021,2021-01,2025-01,2024-01,18.8,中型SUV,黑色,前置四驱,2021,唐新能源,18.03 - 20.00,3.01-6.01
143,蓝鸟 2020款 1.6L CVT炫酷版,2.0,2021,2021-02,2025-02,2024-02,8.38,紧凑型车,白色,前置前驱,2021,蓝鸟,8.20 - 10.17,0.00-3.01
144,途观 2016款 300TSI 自动四驱豪华版,9.2,2016,2016-04,2024-04,2024-04,9.68,紧凑型SUV,白色,前置四驱,2016,途观,8.20 - 10.17,9.01-12.01
145,凯迪拉克XT6 2021款 28T 七座豪华型,2.1,2021,2021-04,2025-04,2024-04,30.98,中大型SUV,黑色,前置前驱,2021,凯迪拉克,大于20,0.00-3.01
146,奔腾T77 2020款 PRO 280 TID 自动豪华型,2.0,2022,2022-06,2024-06,2023-06,7.38,紧凑型SUV,白色,前置前驱,2022,奔腾,6.23 - 8.20,0.00-3.01
147,奔驰GLS 2018款 GLS 400 4MATIC动感型,6.4,2018,2018-04,2024-04,2024-04,64.9,大型SUV,黑色,前置四驱,2018,奔驰,大于20,6.01-9.01
148,牧马人 2019款 2.0T Sahara 四门版 国V,4.4,2020,2020-11,2024-11,2023-11,37.8,中型SUV,黑色,前置四驱,2020,牧马人,大于20,3.01-6.01
149,奔驰R级 2011款 R 300 L 商务型,13.0,2014,2014-02,2024-02,2024-02,13.68,中大型车,白色,前置后驱,2014,奔驰,12.13 - 14.10,大于12.01
150,冒险家 2022款 2.0T 两驱尊享版,0.89,2022,2022-04,2024-04,2024-04,20.88,紧凑型SUV,黑色,前置前驱,2022,冒险家,大于20,0.00-3.01
151,哈弗H5 2018款 经典版 2.0T 手动四驱精英型,8.0,2018,2018-05,2024-05,2023-05,6.5,紧凑型SUV,白色,前置四驱,2018,哈弗,6.23 - 8.20,6.01-9.01
152,海豚 2021款 405km 时尚版,1.8,2022,2022-04,2024-04,2024-04,10.18,小型车,红/紫色,前置前驱,2022,海豚,10.17 - 12.13,0.00-3.01
153,Levante 2018款 3.0T 经典版,3.08,2018,2018-05,2024-05,2023-05,54.5,中大型SUV,白色,前置四驱,2018,Levante,大于20,3.01-6.01
154,途昂 2020款 380TSI 四驱豪华版 国VI,6.0,2021,2021-01,2025-01,2024-01,24.8,中大型SUV,黑色,前置四驱,2021,途昂,大于20,3.01-6.01
155,宝马5系 2020款 525Li 豪华套装,5.92,2020,2020-04,2024-04,2024-04,29.9,中大型车,香槟/棕色,前置后驱,2020,宝马,大于20,3.01-6.01
156,高尔夫 2019款 280TSI DSG舒适型 国VI,4.5,2019,2019-09,2023-09,2023-09,9.98,紧凑型车,白色,前置前驱,2019,高尔夫,8.20 - 10.17,3.01-6.01
157,宝马M4 2021款 M4双门轿跑车 雷霆版,3.5,2021,2021-07,2023-07,2023-07,78.8,中型车,黄/橙色,前置后驱,2021,宝马,大于20,3.01-6.01
158,T-ROC探歌 2020款 280TSI DSG两驱进取型,4.5,2020,2020-06,2024-06,2023-06,10.38,紧凑型SUV,白色,前置前驱,2020,T-ROC探歌,10.17 - 12.13,3.01-6.01
159,长安CS75 2016款 2.0L 手动豪华型 国V,13.0,2016,2016-10,2023-10,2023-10,4.16,紧凑型SUV,香槟/棕色,前置前驱,2016,长安,2.30 - 4.27,大于12.01
160,甲壳虫 2018款 180TSI 宜乐型,2.6,2019,2019-02,2025-02,2024-02,13.5,紧凑型车,红/紫色,前置前驱,2019,甲壳虫,12.13 - 14.10,0.00-3.01
161,别克GL8 2020款 陆上公务舱 652T 豪华型,5.4,2020,2020-06,2024-06,2023-06,21.3,中大型车,香槟/棕色,前置前驱,2020,别克,大于20,3.01-6.01
162,MINI 2016款 2.0T COOPER S,6.2,2016,2016-04,2023-04,2023-04,15.55,小型车,白色,前置前驱,2016,MINI,14.10 - 16.07,6.01-9.01
163,奔驰A级 2022款 改款 A 200 L 运动轿车时尚型,2.1,2022,2022-06,2024-06,2023-06,18.8,紧凑型车,红/紫色,前置前驱,2022,奔驰,18.03 - 20.00,0.00-3.01
164,奔驰C级 2013款 C 180 经典型 Grand Edition,11.0,2014,2014-09,2023-09,2023-09,8.68,中型车,红/紫色,前置后驱,2014,奔驰,8.20 - 10.17,9.01-12.01
165,奔驰GLC 2018款 GLC 260 4MATIC 豪华型,9.5,2017,2017-12,2023-12,2023-12,23.99,中型SUV,黑色,前置四驱,2017,奔驰,大于20,9.01-12.01
166,锐界 2017款 EcoBoost 245 两驱铂锐型 5座,8.9,2017,2017-09,2023-09,2023-09,11.3,中型SUV,白色,前置前驱,2017,锐界,10.17 - 12.13,6.01-9.01
167,凯美瑞 2019款 2.5G 豪华版 国V,6.3,2020,2020-03,2024-03,2024-03,14.98,中型车,黑色,前置前驱,2020,凯美瑞,14.10 - 16.07,6.01-9.01
168,奥迪A6L 2016款 30 FSI 技术型,5.6,2016,2016-01,2024-01,2024-01,23.88,中大型车,黑色,前置前驱,2016,奥迪,大于20,3.01-6.01
169,奥迪A4L 2016款 35 TFSI 典藏版 自动标准型,8.2,2016,2016-06,2023-06,2023-06,12.8,中型车,白色,前置前驱,2016,奥迪,12.13 - 14.10,6.01-9.01
170,宝马1系进口 2016款 120i 领先型,6.9,2017,2017-06,2023-06,2023-06,13.6,紧凑型车,白色,前置后驱,2017,宝马,12.13 - 14.10,6.01-9.01
171,奔驰A级AMG进口 2016款 AMG A 45 4MATIC,10.2,2016,2016-02,2024-02,2024-02,18.98,紧凑型车,白色,前置四驱,2016,奔驰,18.03 - 20.00,9.01-12.01
172,远景X6 2020款 1.4T CVT尊贵型,2.9,2021,2021-06,2023-06,2023-06,6.98,紧凑型SUV,白色,前置前驱,2021,远景,6.23 - 8.20,0.00-3.01
173,奔驰C级 2015款 改款 C 200 L 运动型,7.2,2016,2016-05,2023-05,2023-05,16.5,中型车,红/紫色,前置后驱,2016,奔驰,16.07 - 18.03,6.01-9.01
174,揽胜运动版 2020款 3.0 L6 SE,8.4,2020,2020-09,2024-09,2023-09,66.9,中大型SUV,白色,前置四驱,2020,揽胜,大于20,6.01-9.01
175,揽胜运动版 2022款 3.0 L6 SE,6.7,2021,2021-09,2023-09,2023-09,70.8,中大型SUV,白色,前置四驱,2021,揽胜,大于20,6.01-9.01
176,宝马3系 2017款 320i M运动型,8.3,2017,2017-06,2023-06,2023-06,15.58,中型车,蓝色,前置后驱,2017,宝马,14.10 - 16.07,6.01-9.01
177,奔驰E级 2018款 E 200 L 运动型,1.14,2018,2018-09,2024-09,2023-09,30.9,中大型车,白色,前置后驱,2018,奔驰,大于20,0.00-3.01
178,奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,9.8,2018,2018-08,2024-08,2023-08,17.58,中型车,香槟/棕色,前置前驱,2018,奥迪,16.07 - 18.03,9.01-12.01
179,科鲁兹 2018款 320 自动先锋天窗版,9.5,2018,2018-04,2024-04,2023-04,5.88,紧凑型车,红/紫色,前置前驱,2018,科鲁兹,4.27 - 6.23,9.01-12.01
180,捷豹XJ 2016款 XJL 2.0T 两驱典雅商务版,10.1,2018,2018-03,2024-03,2023-03,27.98,大型车,白色,前置后驱,2018,捷豹,大于20,9.01-12.01
181,缤智 2020款 1.5L CVT先锋版,5.6,2020,2020-07,2024-07,2023-07,9.8,小型SUV,白色,前置前驱,2020,缤智,8.20 - 10.17,3.01-6.01
182,沃尔沃S90 2020款 T5 智逸豪华版,4.0,2019,2019-05,2023-05,2023-05,20.98,中大型车,香槟/棕色,前置前驱,2019,沃尔沃,大于20,3.01-6.01
183,唐新能源 2021款 DM 2.0T 四驱高性能版创世旗舰型,5.0,2021,2021-02,2025-02,2024-02,19.8,中型SUV,银/灰色,前置四驱,2021,唐新能源,18.03 - 20.00,3.01-6.01
184,速派 2018款 TSI330 DSG舒适版 国V,9.6,2018,2018-07,2024-07,2023-07,9.69,中型车,白色,前置前驱,2018,速派,8.20 - 10.17,9.01-12.01
185,别克GL8 2021款 ES陆尊 653T 尊享型,2.1,2021,2021-09,2023-09,2023-09,30.68,中大型车,白色,前置前驱,2021,别克,大于20,0.00-3.01
186,雷克萨斯LX 2019款 570 尊贵豪华版,4.31,2018,2018-09,2024-09,2023-09,147.8,大型SUV,香槟/棕色,前置四驱,2018,雷克萨斯,,3.01-6.01
187,迈巴赫S级 2021款 S 480 4MATIC,2.72,2022,2022-01,2024-01,2024-01,146.8,大型车,黑色,前置四驱,2022,迈巴赫,,0.00-3.01
188,揽胜 2023款 3.0 L6 400PS 盛世加长版,0.18,2022,2022-08,2024-08,2023-08,179.0,中大型SUV,黑色,前置四驱,2022,揽胜,,0.00-3.01
189,传祺M8 2021款 大师系列 390T 四座御尊版,1.2,2022,2022-05,2024-05,2023-05,32.2,中大型车,黑色,前置前驱,2022,传祺,大于20,0.00-3.01
190,揽胜 2020款 3.0 L6 传世加长版,5.0,2020,2020-09,2024-09,2023-09,128.9,中大型SUV,黑色,前置四驱,2020,揽胜,,3.01-6.01
191,奥迪A3 2019款 Sportback 35 TFSI 时尚型 国VI,6.99,2019,2019-07,2023-07,2023-07,11.98,紧凑型车,白色,前置前驱,2019,奥迪,10.17 - 12.13,6.01-9.01
192,发现 2021款 300PS S,1.29,2022,2022-09,2024-09,2023-09,56.2,中大型SUV,黑色,前置四驱,2022,发现,大于20,0.00-3.01
193,奥迪A7 2021款 45 TFSI 臻选型,1.98,2022,2022-01,2024-01,2023-05,50.9,中大型车,蓝色,前置前驱,2022,奥迪,大于20,0.00-3.01
194,Panamera 2021款 Panamera 行政加长版 2.9T,1.5,2021,2021-11,2023-11,2023-11,116.0,大型车,银/灰色,前置后驱,2021,Panamera,,0.00-3.01
195,揽胜运动版 2020款 3.0 L6 HSE DYNAMIC,4.9,2020,2020-07,2024-07,2023-07,74.5,中大型SUV,黑色,前置四驱,2020,揽胜,大于20,3.01-6.01
196,高合HiPhi X 2021款 旗舰版6座,1.54,2022,2022-01,2024-01,2024-01,47.9,中大型SUV,红/紫色,双电机四驱,2022,高合,大于20,0.00-3.01
197,保时捷718 2022款 Boxster 2.0T,0.53,2022,2022-01,2024-01,2024-01,64.8,跑车,黄/橙色,中置后驱,2022,保时捷,大于20,0.00-3.01
198,奔驰S级 2022款 S 450 L 4MATIC,1.75,2022,2022-01,2024-01,2024-01,113.9,大型车,黑色,前置四驱,2022,奔驰,,0.00-3.01
199,奔驰S级 2022款 S 450 L 4MATIC,0.42,2022,2022-03,2024-03,2024-03,115.8,大型车,黑色,前置四驱,2022,奔驰,,0.00-3.01
200,途锐 2021款 2.0TSI 领航特别版,2.7,2021,2021-02,2025-02,2024-02,41.2,中大型SUV,黑色,前置四驱,2021,途锐,大于20,0.00-3.01
201,发现 2021款 360PS R-Dynamic S,2.37,2022,2022-02,2024-02,2024-02,63.5,中大型SUV,黑色,前置四驱,2022,发现,大于20,0.00-3.01
202,高合HiPhi X 2021款 旗舰版6座,0.97,2022,2022-05,2024-05,2023-05,50.9,中大型SUV,红/紫色,双电机四驱,2022,高合,大于20,0.00-3.01
203,奥迪A8 2021款 A8L 50 TFSI quattro 舒适型,2.33,2021,2021-05,2023-05,2023-05,62.9,大型车,黑色,前置四驱,2021,奥迪,大于20,0.00-3.01
204,奔驰S级 2022款 S 400 L 商务型,0.94,2022,2022-07,2024-07,2023-07,87.9,大型车,黑色,前置后驱,2022,奔驰,大于20,0.00-3.01
205,发现 2020款 3.0 SC V6 30周年特别版,2.29,2021,2021-05,2023-05,2023-05,55.9,中大型SUV,黑色,前置四驱,2021,发现,大于20,0.00-3.01
206,奔驰S级 2022款 S 450 L 4MATIC,0.73,2022,2022-01,2024-01,2024-01,115.9,大型车,黑色,前置四驱,2022,奔驰,,0.00-3.01
207,路虎卫士 2020款 110 P400 暗黑特别版,3.8,2021,2021-01,2025-01,2024-01,81.8,中大型SUV,银/灰色,前置四驱,2021,路虎卫士,大于20,3.01-6.01
208,雷克萨斯LS 2021款 500h 行政版,0.77,2022,2022-09,2024-09,2023-09,89.9,大型车,黑色,前置后驱,2022,雷克萨斯,大于20,0.00-3.01
209,宝马X5进口 2021款 xDrive40i M运动套装,3.84,2021,2021-06,2023-06,2023-06,65.8,中大型SUV,白色,前置四驱,2021,宝马,大于20,3.01-6.01
210,揽胜运动版 2020款 3.0 L6 HSE DYNAMIC,3.78,2020,2020-01,2024-01,2024-01,74.8,中大型SUV,白色,前置四驱,2020,揽胜,大于20,3.01-6.01
211,领航员 2020款 3.5T 长轴总统版,3.6,2020,2020-08,2024-08,2023-08,88.8,大型SUV,黑色,前置四驱,2020,领航员,大于20,3.01-6.01
212,奔驰CLS 2022款 CLS 300 动感型,1.14,2022,2022-04,2024-04,2023-04,54.9,中大型车,白色,前置后驱,2022,奔驰,大于20,0.00-3.01
213,宝马X5进口 2022款 xDrive30i M运动套装,1.44,2022,2022-04,2024-04,2024-03,62.9,中大型SUV,黑色,前置四驱,2022,宝马,大于20,0.00-3.01
214,揽胜运动版 2021款 3.0 L6 耀黑版,1.84,2021,2021-05,2023-05,2023-05,79.9,中大型SUV,银/灰色,前置四驱,2021,揽胜,大于20,0.00-3.01
215,宝马X5进口 2020款 xDrive40i M运动套装,3.2,2020,2020-06,2024-06,2023-06,61.8,中大型SUV,白色,前置四驱,2020,宝马,大于20,3.01-6.01
216,揽胜运动版 2021款 3.0 L6 耀黑版,2.86,2021,2021-03,2023-03,2023-03,81.9,中大型SUV,白色,前置四驱,2021,揽胜,大于20,0.00-3.01
217,Panamera 2021款 Panamera 2.9T,1.33,2021,2021-04,2023-04,2023-04,107.0,大型车,蓝色,前置后驱,2021,Panamera,,0.00-3.01
218,揽胜 2021款 3.0 L6 传世版,2.74,2021,2021-06,2023-06,2023-05,122.8,中大型SUV,白色,前置四驱,2021,揽胜,,0.00-3.01
219,宝马X7 2021款 xDrive40i 领先型豪华套装,2.3,2021,2021-07,2023-07,2023-07,85.8,大型SUV,黑色,前置四驱,2021,宝马,大于20,0.00-3.01
220,宝马5系 2022款 改款 530Li 领先型 M运动套装,0.89,2022,2022-06,2024-06,2023-06,40.9,中大型车,白色,前置后驱,2022,宝马,大于20,0.00-3.01
221,发现运动版 2020款 249PS R-Dynamic 性能版,3.49,2021,2021-01,2025-01,2024-01,22.98,中型SUV,白色,前置四驱,2021,发现,大于20,3.01-6.01
222,奥迪A7 2020款 45 TFSI 臻选型,2.75,2020,2020-08,2024-08,2023-08,46.4,中大型车,白色,前置前驱,2020,奥迪,大于20,0.00-3.01
223,奥迪A4L 2022款 40 TFSI 豪华动感型,1.07,2022,2022-02,2024-02,2024-02,26.5,中型车,白色,前置前驱,2022,奥迪,大于20,0.00-3.01
224,长安UNI-T 2020款 1.5T 尊贵型,2.09,2021,2021-05,2025-05,2023-05,9.58,紧凑型SUV,白色,前置前驱,2021,长安,8.20 - 10.17,0.00-3.01
225,智跑 2019款 2.0L 自动智享豪华版,7.09,2020,2020-07,2024-07,2023-07,9.58,紧凑型SUV,白色,前置前驱,2020,智跑,8.20 - 10.17,6.01-9.01
226,捷达VS7 2020款 1.4T 自动悦享型,3.99,2020,2020-08,2024-08,2023-07,8.76,中型SUV,银/灰色,前置前驱,2020,捷达,8.20 - 10.17,3.01-6.01
227,长安CS75 PLUS 2020款 2.0T 自动旗舰型,2.37,2020,2020-01,2024-01,2023-12,10.45,紧凑型SUV,白色,前置前驱,2020,长安,10.17 - 12.13,0.00-3.01
228,长安CS75 PLUS 2021款 2.0T 自动旗舰型,2.69,2021,2021-05,2025-05,2023-05,11.19,紧凑型SUV,银/灰色,前置前驱,2021,长安,10.17 - 12.13,0.00-3.01
229,北京现代ix35 2019款 2.0L 自动两驱智勇·畅享版 国V,9.6,2019,2019-05,2025-05,2023-05,7.89,紧凑型SUV,白色,前置前驱,2019,北京现代,6.23 - 8.20,9.01-12.01
230,摩卡 2021款 2.0T 四驱特醇版,1.01,2021,2021-05,2024-05,2024-06,15.58,中型SUV,白色,前置四驱,2021,摩卡,14.10 - 16.07,0.00-3.01
231,荣威RX5 2018款 20T 两驱自动旗舰版,3.78,2018,2018-03,2024-03,2024-03,6.28,紧凑型SUV,白色,前置前驱,2018,荣威,6.23 - 8.20,3.01-6.01
232,长安CS55PLUS 2022款 第二代 1.5T DCT领航型,2.3,2021,2021-08,2025-08,2023-08,8.88,紧凑型SUV,白色,前置前驱,2021,长安,8.20 - 10.17,0.00-3.01
233,马自达CX-4 2021款 2.0L 自动两驱蓝天探索版,1.9,2021,2021-03,2025-03,2024-01,11.18,紧凑型SUV,银/灰色,前置前驱,2021,马自达,10.17 - 12.13,0.00-3.01
234,长安CS75 2017款 尚酷版 1.5T 自动锋悦型,4.53,2017,2017-09,2023-09,2023-09,5.68,紧凑型SUV,白色,前置前驱,2017,长安,4.27 - 6.23,3.01-6.01
235,马自达CX-4 2018款 2.0L 自动两驱蓝天领先版 国VI,4.08,2019,2019-05,2025-05,2024-05,10.09,紧凑型SUV,白色,前置前驱,2019,马自达,8.20 - 10.17,3.01-6.01
236,途胜 2015款 1.6T 双离合两驱智能型,12.19,2016,2016-01,2024-01,2024-01,6.89,紧凑型SUV,白色,前置前驱,2016,途胜,6.23 - 8.20,大于12.01
237,北京现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,13.01,2014,2014-08,2023-08,2023-07,5.19,紧凑型SUV,白色,前置前驱,2014,北京现代,4.27 - 6.23,大于12.01
238,长安CS35 2015款 1.6L 自动豪华型 国IV,7.35,2016,2016-01,2024-01,2023-12,3.69,小型SUV,白色,前置前驱,2016,长安,2.30 - 4.27,6.01-9.01
239,马自达CX-3 2018款 2.0L 自动尊贵型,2.94,2018,2018-07,2024-07,2023-07,8.18,小型SUV,红/紫色,前置前驱,2018,马自达,6.23 - 8.20,0.00-3.01
240,沃尔沃XC90 2021款 B5 智行豪华版 5座,5.1,2021,2021-01,2025-01,2024-01,41.8,中大型SUV,黑色,前置四驱,2021,沃尔沃,大于20,3.01-6.01
241,领克01 2021款 2.0TD 四驱劲Halo,3.5,2021,2021-06,2023-06,2023-06,14.68,紧凑型SUV,白色,前置四驱,2021,领克,14.10 - 16.07,3.01-6.01
242,宋MAX新能源 2019款 DM 1.5T 智联致进型 6座 国VI,4.39,2020,2020-04,2024-04,2024-04,9.98,小型SUV,白色,前置前驱,2020,宋,8.20 - 10.17,3.01-6.01
243,途观L新能源 2022款 430PHEV 插电混动旗舰版,0.09,2021,2021-09,2023-09,2023-09,18.18,中型SUV,银/灰色,前置前驱,2021,途观,18.03 - 20.00,0.00-3.01
244,朗逸 2021款 280TSI DSG豪华版,2.55,2021,2021-01,2025-01,2023-11,10.78,紧凑型车,白色,前置前驱,2021,朗逸,10.17 - 12.13,0.00-3.01
245,帕萨特 2017款 330TSI DSG御尊版,5.64,2018,2018-02,2024-02,2024-02,12.18,中型车,黑色,前置前驱,2018,帕萨特,12.13 - 14.10,3.01-6.01
246,奔驰GLC 2016款 GLC 260 4MATIC 豪华型,5.71,2016,2016-08,2024-08,2023-08,22.15,中型SUV,银/灰色,前置四驱,2016,奔驰,大于20,3.01-6.01
247,奥迪Q2L 2018款 35 TFSI 时尚动感型 国VI,3.77,2019,2019-11,2023-11,2023-11,12.35,小型SUV,黄/橙色,前置前驱,2019,奥迪,12.13 - 14.10,3.01-6.01
248,奔驰A级 2020款 A 180 L 运动轿车,4.35,2020,2020-05,2024-05,2024-05,14.98,紧凑型车,白色,前置前驱,2020,奔驰,14.10 - 16.07,3.01-6.01
249,欧蓝德 2023款 1.5T CVT四驱尊耀版 7座,0.27,2022,2022-12,2024-12,2023-12,18.58,紧凑型SUV,白色,前置四驱,2022,欧蓝德,18.03 - 20.00,0.00-3.01
250,奔驰GLA 2015款 GLA 200 时尚型,9.47,2015,2015-12,2023-12,2023-12,10.68,紧凑型SUV,银/灰色,前置前驱,2015,奔驰,10.17 - 12.13,9.01-12.01
251,途铠 2020款 280TSI DSG豪华版,5.32,2020,2020-06,2024-06,2023-06,9.68,小型SUV,白色,前置前驱,2020,途铠,8.20 - 10.17,3.01-6.01
252,自由侠 2016款 1.4T 自动劲能版,7.96,2017,2017-02,2025-02,2024-02,6.18,小型SUV,银/灰色,前置前驱,2017,自由侠,4.27 - 6.23,6.01-9.01
253,昕锐 2019款 1.5L 自动舒适版 国V,4.8,2020,2020-04,2024-04,2024-05,6.18,紧凑型车,白色,前置前驱,2020,昕锐,4.27 - 6.23,3.01-6.01
254,高尔夫 2020款 挚爱版 280TSI DSG R-Line,6.4,2020,2020-06,2024-06,2023-06,12.38,紧凑型车,白色,前置前驱,2020,高尔夫,12.13 - 14.10,6.01-9.01
255,高尔夫 2019款 280TSI DSG舒适型 国V,5.0,2019,2019-07,2023-07,2023-07,9.98,紧凑型车,白色,前置前驱,2019,高尔夫,8.20 - 10.17,3.01-6.01
256,朗逸 2019款 1.5L 自动舒适版 国VI,6.2,2019,2019-12,2023-12,2023-12,8.98,紧凑型车,白色,前置前驱,2019,朗逸,8.20 - 10.17,6.01-9.01
257,长安CS35PLUS 2019款 1.6L 自动畅联版,4.4,2020,2020-08,2024-08,2023-08,7.28,小型SUV,白色,前置前驱,2020,长安,6.23 - 8.20,3.01-6.01
258,英朗 2019款 18T 自动互联精英型 国VI,6.5,2020,2020-01,2024-01,2024-01,6.98,紧凑型车,白色,前置前驱,2020,英朗,6.23 - 8.20,6.01-9.01
259,缤越 2021款 1.4T DCT钻石版,1.5,2022,2022-03,2024-03,2023-03,8.48,小型SUV,红/紫色,前置前驱,2022,缤越,8.20 - 10.17,0.00-3.01
260,沃兰多 2020款 轻混 Redline 530T 自动纵享版（5+2款）,1.4,2020,2020-07,2024-07,2023-07,9.48,紧凑型车,银/灰色,前置前驱,2020,沃兰多,8.20 - 10.17,0.00-3.01
261,奥迪A6L 2019款 40 TFSI 豪华致雅型,7.5,2019,2019-11,2023-11,2023-11,29.9,中大型车,黑色,前置前驱,2019,奥迪,大于20,6.01-9.01
262,揽胜星脉 2020款 P250 R-DYNAMIC S,6.0,2020,2020-01,2024-01,2024-01,35.88,中型SUV,蓝色,前置四驱,2020,揽胜,大于20,3.01-6.01
263,别克GL8 2018款 28T 豪华型 国VI,7.0,2019,2019-11,2023-11,2023-11,17.38,中大型车,香槟/棕色,前置前驱,2019,别克,16.07 - 18.03,6.01-9.01
264,凯美瑞 2022款 2.0GVP 领先版,0.01,2023,2023-03,2025-03,2024-03,16.99,中型车,白色,前置前驱,2023,凯美瑞,16.07 - 18.03,0.00-3.01
265,福克斯 2015款 两厢 1.6L 自动风尚型,4.2,2015,2015-12,2023-12,2023-12,5.68,紧凑型车,白色,前置前驱,2015,福克斯,4.27 - 6.23,3.01-6.01
266,奥迪A3 2018款 30周年年型 Limousine 35 TFSI 风尚型,4.3,2019,2019-02,2025-02,2024-02,11.5,紧凑型车,红/紫色,前置前驱,2019,奥迪,10.17 - 12.13,3.01-6.01
267,奥迪A6L 2017款 TFSI 舒适型,11.0,2017,2017-08,2023-08,2023-08,18.8,中大型车,香槟/棕色,前置前驱,2017,奥迪,18.03 - 20.00,9.01-12.01
268,传祺M8 2021款 领秀系列 390T 至尊版,1.25,2022,2022-06,2024-06,2023-06,21.58,中大型车,白色,前置前驱,2022,传祺,大于20,0.00-3.01
269,奥迪A4L 2019款 40 TFSI 进取型 国VI,13.8,2019,2019-04,2025-04,2024-04,16.2,中型车,白色,前置前驱,2019,奥迪,16.07 - 18.03,大于12.01
270,凯迪拉克CT5 2020款 改款 28T 豪华型,3.1,2021,2021-01,2025-01,2024-01,20.59,中型车,蓝色,前置后驱,2021,凯迪拉克,大于20,3.01-6.01
271,小鹏P7 2021款 480N,1.47,2022,2022-03,2024-03,2024-03,16.39,中型车,银/灰色,后置后驱,2022,小鹏,16.07 - 18.03,0.00-3.01
272,桑塔纳 2018款 1.5L 自动舒适版,5.05,2019,2019-01,2025-01,2023-12,5.88,紧凑型车,白色,前置前驱,2019,桑塔纳,4.27 - 6.23,3.01-6.01
273,传祺M8 2023款 领秀系列 390T 尊贵版,5.7,2022,2022-08,2024-08,2023-08,19.2,中大型车,黑色,前置前驱,2022,传祺,18.03 - 20.00,3.01-6.01
274,奕泽IZOA 2018款 2.0L 奕驰版 国VI,3.58,2020,2020-03,2024-03,2024-03,9.89,小型SUV,红/紫色,前置前驱,2020,奕泽,8.20 - 10.17,3.01-6.01
