,title,行驶距离(万公里),year,上牌时间,年检到期,保险到期,price,车辆级别,车身颜色,驱动方式,出厂日期,brands,label_price,label1_行驶距离
275,起亚K2 2017款 三厢 1.4L AT 15周年特别版GLS,5.92,2019,2019-01,2025-01,2023-08,5.18,小型车,白色,前置前驱,2019,起亚,4.27 - 6.23,3.01-6.01
276,普拉多(进口) 2018款 4.0L 自动,5.7,2020,2020-08,2024-08,2023-08,61.38,中大型SUV,白色,前置四驱,2020,普拉多,大于20,3.01-6.01
277,沃尔沃XC60 2019款 T5 四驱智逸版 国V,6.51,2018,2018-09,2024-09,2023-09,20.39,中型SUV,香槟/棕色,前置四驱,2018,沃尔沃,大于20,6.01-9.01
278,传祺M8 2023款 领秀系列 390T 尊贵版,0.97,2022,2022-09,2024-09,2023-09,20.5,中大型车,白色,前置前驱,2022,传祺,大于20,0.00-3.01
279,缤智 2019款 1.5L CVT先锋版 国VI,5.56,2019,2019-10,2023-10,2023-10,8.88,小型SUV,白色,前置前驱,2019,缤智,8.20 - 10.17,3.01-6.01
280,奥迪A6L 2021款 40 TFSI 豪华致雅型,3.03,2021,2021-04,2023-04,2023-04,32.68,中大型车,黑色,前置前驱,2021,奥迪,大于20,3.01-6.01
281,奥迪A6L 2020款 40 TFSI 豪华致雅型,5.45,2020,2020-03,2024-03,2023-03,30.9,中大型车,黑色,前置前驱,2020,奥迪,大于20,3.01-6.01
282,奥迪A6L 2022款 45 TFSI quattro 臻选动感型,1.12,2022,2022-08,2024-08,2023-08,38.68,中大型车,黑色,前置四驱,2022,奥迪,大于20,0.00-3.01
283,奥迪A6L 2020款 40 TFSI 豪华致雅型,4.05,2020,2020-04,2024-04,2023-04,31.1,中大型车,黑色,前置前驱,2020,奥迪,大于20,3.01-6.01
284,奥迪A3 2018款 30周年年型 Limousine 35 TFSI 进取型,4.8,2018,2018-09,2024-09,2023-09,10.2,紧凑型车,白色,前置前驱,2018,奥迪,10.17 - 12.13,3.01-6.01
285,明锐 2019款 TSI280 DSG智行豪华版 国VI,4.41,2020,2020-06,2024-06,2023-06,9.19,紧凑型车,白色,前置前驱,2020,明锐,8.20 - 10.17,3.01-6.01
286,宝马5系新能源 2020款 里程升级版 530Le 先锋版,8.0,2020,2020-07,2024-07,2023-07,29.48,中大型车,黑色,前置后驱,2020,宝马,大于20,6.01-9.01
287,奥迪A6L 2014款 TFSI 标准型,12.3,2015,2015-06,2023-06,2023-06,15.9,中大型车,黑色,前置前驱,2015,奥迪,14.10 - 16.07,大于12.01
288,奥迪A3 2019款 Sportback 35 TFSI 进取型 国VI,4.7,2019,2019-07,2023-07,2023-07,10.9,紧凑型车,白色,前置前驱,2019,奥迪,10.17 - 12.13,3.01-6.01
289,奥迪A3 2022款 A3L Limousine 35 TFSI 时尚运动型,0.01,2023,2023-03,2025-03,2024-03,17.38,紧凑型车,白色,前置前驱,2023,奥迪,16.07 - 18.03,0.00-3.01
290,奥迪A3 2022款 A3L Limousine 35 TFSI 时尚运动型,0.01,2023,2023-04,2025-04,2023-04,17.38,紧凑型车,白色,前置前驱,2023,奥迪,16.07 - 18.03,0.00-3.01
291,奥迪A3 2022款 Sportback 35 TFSI 时尚运动型,0.01,2023,2023-04,2025-04,2023-04,17.08,紧凑型车,白色,前置前驱,2023,奥迪,16.07 - 18.03,0.00-3.01
292,奥迪A3 2022款 Sportback 35 TFSI 时尚致雅型,0.01,2023,2023-03,2025-03,2024-03,17.08,紧凑型车,白色,前置前驱,2023,奥迪,16.07 - 18.03,0.00-3.01
293,索纳塔 2014款 2.0L 自动豪华版,8.91,2015,2015-03,2023-03,2023-03,5.58,中型车,白色,前置前驱,2015,索纳塔,4.27 - 6.23,6.01-9.01
294,古思特 2014款 6.6T 加长版,7.0,2015,2015-07,2023-07,2023-07,248.0,大型车,黑色,前置后驱,2015,古思特,,6.01-9.01
295,奔驰V级 2018款 V 260 领航版 国VI,5.0,2019,2019-06,2023-06,2023-06,33.8,中大型SUV,黑色,前置后驱,2019,奔驰,大于20,3.01-6.01
296,路虎卫士 2.2T 柴油 欧规版,4.7,2016,2016-03,2024-03,2024-03,93.8,中大型SUV,白色,前置四驱,2016,路虎卫士,大于20,3.01-6.01
297,宝马5系 2018款 530Li 尊享型 M运动套装,8.2,2018,2018-03,2024-03,2024-03,27.98,中大型车,白色,前置后驱,2018,宝马,大于20,6.01-9.01
298,QQ冰淇淋 2022款 170km 圣代 磷酸铁锂,0.01,2023,2023-05,2025-05,2024-05,4.16,微型车,绿色,后置后驱,2023,QQ冰淇淋,2.30 - 4.27,0.00-3.01
299,赛那SIENNA 2021款 2.5L混动 铂金版,2.6,2022,2022-04,2024-04,2024-04,40.9,中大型车,白色,前置前驱,2022,赛那,大于20,0.00-3.01
300,别克GL8 2021款 ES陆尊 653T 智慧豪华型,0.6,2023,2023-05,2025-05,2024-05,36.68,中大型车,香槟/棕色,前置前驱,2023,别克,大于20,0.00-3.01
301,长安CS75 PLUS 2023款 第三代 1.5T 自动豪华型,0.3,2023,2023-05,2025-05,2024-05,11.68,紧凑型SUV,银/灰色,前置前驱,2023,长安,10.17 - 12.13,0.00-3.01
302,帕杰罗(进口) 2018款 3.8L 自动,6.0,2019,2019-06,2023-06,2023-06,26.28,中大型SUV,白色,前置四驱,2019,帕杰罗,大于20,3.01-6.01
303,雷克萨斯NX 2015款 300h 全驱 锋致版,11.8,2014,2014-12,2023-12,2023-12,16.38,中型SUV,白色,前置四驱,2014,雷克萨斯,16.07 - 18.03,9.01-12.01
304,哪吒U 2021款 Pro 400 尊享驾驭版,1.7,2022,2022-03,2024-03,2024-03,10.38,紧凑型SUV,白色,前置前驱,2022,哪吒,10.17 - 12.13,0.00-3.01
305,普拉多(进口) 2013款 2.7L 自动,17.0,2013,2013-08,2023-08,2023-08,25.38,中大型SUV,白色,前置四驱,2013,普拉多,大于20,大于12.01
306,普拉多 2019款 3.5L 自动TX-L尊享版后挂备胎,3.24,2019,2019-11,2023-11,2023-11,52.9,中大型SUV,白色,前置四驱,2019,普拉多,大于20,3.01-6.01
307,宝马3系 2021款 325i M运动套装,5.3,2021,2021-04,2025-04,2024-04,27.5,中型车,白色,前置后驱,2021,宝马,大于20,3.01-6.01
308,途锐 2018款 3.0TSI 荣耀典藏版,6.66,2018,2018-09,2024-09,2023-09,33.1,中大型SUV,黑色,前置四驱,2018,途锐,大于20,6.01-9.01
309,揽胜 2018款 3.0T 美规版,7.57,2018,2018-09,2024-09,2023-09,96.8,中大型SUV,白色,前置四驱,2018,揽胜,大于20,6.01-9.01
310,途锐 2017款 3.0TSI 拓界版,7.0,2018,2018-05,2024-05,2024-05,34.8,中大型SUV,香槟/棕色,前置四驱,2018,途锐,大于20,6.01-9.01
311,揽胜运动版 2022款 3.0 L6 耀黑版,2.5,2022,2022-04,2024-04,2024-04,83.8,中大型SUV,白色,前置四驱,2022,揽胜,大于20,0.00-3.01
312,途锐 2019款 3.0TSI 锐锋版 国VI,2.7,2020,2020-05,2024-05,2024-05,48.5,中大型SUV,银/灰色,前置四驱,2020,途锐,大于20,0.00-3.01
313,奔驰S级 2019款 S 450 L 4MATIC,5.95,2018,2018-12,2024-12,2023-12,79.5,大型车,黑色,前置四驱,2018,奔驰,大于20,3.01-6.01
314,奥迪Q5 2015款 40 TFSI 舒适型,7.99,2015,2015-08,2023-08,2023-08,16.38,中型SUV,黑色,前置四驱,2015,奥迪,16.07 - 18.03,6.01-9.01
315,胜达 2013款 改款 2.4L 自动四驱智能型,12.6,2014,2014-08,2023-08,2023-08,8.3,中型SUV,白色,前置四驱,2014,胜达,8.20 - 10.17,大于12.01
316,菲斯塔 2019款 280TGDi 运动版 国VI,3.1,2020,2020-04,2024-04,2024-04,9.08,紧凑型车,银/灰色,前置前驱,2020,菲斯塔,8.20 - 10.17,3.01-6.01
317,速腾 2018款 280TSI DSG豪华型,8.3,2018,2018-09,2024-09,2023-09,8.6,紧凑型车,白色,前置前驱,2018,速腾,8.20 - 10.17,6.01-9.01
318,凯迪拉克XT6 2020款 28T 六座四驱豪华型,5.29,2020,2020-01,2024-01,2024-01,28.5,中大型SUV,黑色,前置四驱,2020,凯迪拉克,大于20,3.01-6.01
319,宝马3系 2021款 325Li M运动套装,2.3,2021,2021-07,2023-07,2023-07,27.8,中型车,红/紫色,前置后驱,2021,宝马,大于20,0.00-3.01
320,理想L9 2022款 Max,1.3,2023,2023-01,2025-01,2024-01,42.9,大型SUV,银/灰色,双电机四驱,2023,理想,大于20,0.00-3.01
321,揽胜 2020款 3.0T 柴油欧规版,4.2,2020,2020-08,2024-08,2023-08,111.8,中大型SUV,银/灰色,前置四驱,2020,揽胜,,3.01-6.01
322,揽胜 2018款 3.0 SC V6 Vogue 传世版,1.6,2018,2018-04,2024-04,2024-04,99.8,中大型SUV,黑色,前置四驱,2018,揽胜,大于20,0.00-3.01
323,兰德酷路泽(进口) 2012款 中东版,15.0,2011,2011-08,2023-08,2023-08,35.5,中大型SUV,白色,前置四驱,2011,兰德酷路泽,大于20,大于12.01
324,奔驰GLS 2018款 3.0T 美规版,3.0,2019,2019-04,2025-04,2024-04,72.8,大型SUV,黑色,前置四驱,2019,奔驰,大于20,0.00-3.01
325,奔驰GLS 2018款 GLS 450 美规版,1.9,2019,2019-03,2025-03,2024-03,73.8,大型SUV,黑色,前置四驱,2019,奔驰,大于20,0.00-3.01
326,宝马5系 2017款 525Li 豪华设计套装,10.04,2017,2017-04,2024-04,2024-04,20.6,中大型车,白色,前置后驱,2017,宝马,大于20,9.01-12.01
327,昂科威 2018款 28T 四驱精英型,8.4,2018,2018-01,2024-01,2024-01,13.3,中型SUV,红/紫色,前置四驱,2018,昂科威,12.13 - 14.10,6.01-9.01
328,普拉多(进口) 2013款 2.7L 中东版,13.6,2013,2013-02,2024-02,2024-02,23.98,中大型SUV,黑色,前置四驱,2013,普拉多,大于20,大于12.01
329,英朗 2021款 典范 1.5L 自动精英型,1.3,2021,2021-09,2023-09,2023-09,7.18,紧凑型车,白色,前置前驱,2021,英朗,6.23 - 8.20,0.00-3.01
330,名爵6 2020款 1.5T 自动领潮豪华版,1.0,2022,2022-06,2024-06,2023-06,9.38,紧凑型车,白色,前置前驱,2022,名爵,8.20 - 10.17,0.00-3.01
331,科雷嘉 2019款 SCe200 自动两驱智尚型 国V,3.72,2019,2019-04,2025-04,2024-04,8.58,紧凑型SUV,白色,前置前驱,2019,科雷嘉,8.20 - 10.17,3.01-6.01
332,骐达TIIDA 2019款 1.6L CVT智行版 国VI,3.4,2019,2019-03,2023-03,2023-03,7.98,紧凑型车,白色,前置前驱,2019,骐达,6.23 - 8.20,3.01-6.01
333,途锐 2018款 3.0TSI 荣耀典藏版,8.4,2019,2019-06,2023-06,2023-06,34.98,中大型SUV,黑色,前置四驱,2019,途锐,大于20,6.01-9.01
334,Panamera 2013款 Panamera Platinum Edition 3.6L,15.6,2012,2012-12,2023-12,2023-12,26.88,大型车,黑色,前置后驱,2012,Panamera,大于20,大于12.01
335,红旗E-QM5 2021款 充电 T3版 4座,0.8,2021,2021-09,2023-09,2023-09,11.9,中型车,黑色,前置前驱,2021,红旗,10.17 - 12.13,0.00-3.01
336,哈弗H6 2018款 红标 运动版 1.5T 自动两驱精英型,4.4,2019,2019-06,2023-06,2023-06,6.98,紧凑型SUV,白色,前置前驱,2019,哈弗,6.23 - 8.20,3.01-6.01
337,帕萨特 2019款 330TSI 豪华版 国VI,5.4,2020,2020-01,2024-01,2024-01,16.68,中型车,黑色,前置前驱,2020,帕萨特,16.07 - 18.03,3.01-6.01
338,吉姆尼进口 2015款 1.3 AT JLX导航版,8.0,2017,2017-09,2023-09,2023-09,13.9,小型SUV,绿色,前置四驱,2017,吉姆尼进口,12.13 - 14.10,6.01-9.01
339,奔驰M级 2013款 ML 350 美规版,15.2,2013,2013-04,2024-04,2024-04,20.38,中大型SUV,白色,前置四驱,2013,奔驰,大于20,大于12.01
340,Cayenne 2019款 Cayenne 3.0T,0.74,2022,2022-11,2024-11,2023-11,91.3,中大型SUV,银/灰色,前置四驱,2022,Cayenne,大于20,0.00-3.01
341,揽胜 2020款 3.0 L6 盛世版,4.2,2020,2020-11,2024-11,2023-11,109.8,中大型SUV,黑色,前置四驱,2020,揽胜,,3.01-6.01
342,揽胜运动版 2016款 3.0 SC V6 SE,13.0,2017,2017-01,2024-01,2024-01,43.8,中大型SUV,白色,前置四驱,2017,揽胜,大于20,大于12.01
343,雷克萨斯LX 2022款 600 中东版,1.6,2023,2023-02,2025-02,2024-02,206.8,大型SUV,黑色,前置四驱,2023,雷克萨斯,,0.00-3.01
344,奇骏 2017款 2.5L CVT领先版 4WD,7.9,2018,2018-05,2024-05,2023-05,13.6,紧凑型SUV,白色,前置四驱,2018,奇骏,12.13 - 14.10,6.01-9.01
345,哈弗H6 2017款 蓝标 运动版 1.5T 自动两驱豪华型,6.8,2017,2017-05,2023-05,2023-05,5.6,紧凑型SUV,白色,前置前驱,2017,哈弗,4.27 - 6.23,6.01-9.01
346,帕杰罗·劲畅 2013款 3.0L 自动四驱行政版,11.2,2017,2017-12,2023-12,2023-12,11.78,中型SUV,白色,前置四驱,2017,帕杰罗,10.17 - 12.13,9.01-12.01
347,途乐 2018款 4.0L 领英型,1.7,2019,2019-01,2025-01,2024-01,37.5,大型SUV,白色,前置四驱,2019,途乐,大于20,0.00-3.01
348,沃尔沃XC60 2017款 T5 AWD 智远升级版,9.6,2018,2018-01,2024-01,2024-01,15.8,中型SUV,香槟/棕色,前置四驱,2018,沃尔沃,14.10 - 16.07,9.01-12.01
349,理想ONE 2021款 增程6座版,5.0,2021,2021-11,2023-11,2023-11,23.8,中大型SUV,银/灰色,双电机四驱,2021,理想,大于20,3.01-6.01
350,宝马3系 2016款 320Li 时尚型,5.0,2016,2016-04,2024-04,2024-04,15.38,中型车,白色,前置后驱,2016,宝马,14.10 - 16.07,3.01-6.01
351,牧马人 2021款 2.0T 罗宾汉四门版,1.1,2023,2023-02,2025-02,2024-02,48.6,中型SUV,红/紫色,前置四驱,2023,牧马人,大于20,0.00-3.01
352,揽胜 2018款 3.0 SC V6 Vogue 传世版,3.01,2019,2019-11,2023-11,2023-11,105.9,中大型SUV,红/紫色,前置四驱,2019,揽胜,,0.00-3.01
353,兰德酷路泽(进口) 2019款 4.0L 中东版,3.3,2020,2020-03,2024-03,2024-03,81.8,中大型SUV,白色,前置四驱,2020,兰德酷路泽,大于20,3.01-6.01
354,传祺M8 2021款 领秀系列 390T 尊贵版,4.9,2021,2021-04,2025-04,2024-04,19.98,中大型车,黑色,前置前驱,2021,传祺,18.03 - 20.00,3.01-6.01
355,高尔夫 2017款 1.6L 自动舒适百万辆纪念版,6.0,2017,2017-06,2023-06,2023-06,7.5,紧凑型车,白色,前置前驱,2017,高尔夫,6.23 - 8.20,3.01-6.01
356,兰德酷路泽(进口) 2012款 中东版,16.8,2011,2011-02,2024-02,2024-02,45.8,中大型SUV,绿色,前置四驱,2011,兰德酷路泽,大于20,大于12.01
357,探险者 2020款 EcoBoost 285 四驱风尚版 6座,3.8,2021,2021-02,2025-02,2024-02,26.58,中大型SUV,白色,前置四驱,2021,探险者,大于20,3.01-6.01
358,凯路威 2016款 2.0TSI 两驱舒适版 9座,8.9,2017,2017-08,2023-08,2023-08,24.2,中大型SUV,黑色,前置前驱,2017,凯路威,大于20,6.01-9.01
359,别克GL8 2020款 ES陆尊 653T 舒适型,7.1,2021,2021-01,2025-01,2024-01,29.6,中大型车,白色,前置前驱,2021,别克,大于20,6.01-9.01
360,奔驰E级 2020款 改款 E 300 L 时尚型,5.1,2020,2020-05,2024-05,2023-05,37.98,中大型车,黑色,前置后驱,2020,奔驰,大于20,3.01-6.01
361,普拉多 2014款 4.0L 自动VX NAVI,7.7,2014,2014-08,2023-08,2023-08,46.8,中大型SUV,白色,前置四驱,2014,普拉多,大于20,6.01-9.01
362,奔驰S级 2019款 S 350 L 豪华型,5.29,2019,2019-08,2023-08,2023-08,72.5,大型车,黑色,前置后驱,2019,奔驰,大于20,3.01-6.01
363,迈锐宝 2018款 530T 自动豪华版,8.5,2018,2018-05,2024-05,2023-05,6.68,中型车,白色,前置前驱,2018,迈锐宝,6.23 - 8.20,6.01-9.01
364,奥迪Q3 2018款 30周年年型 30 TFSI 时尚型,7.3,2018,2018-12,2024-12,2023-12,12.5,紧凑型SUV,香槟/棕色,前置前驱,2018,奥迪,12.13 - 14.10,6.01-9.01
365,途乐Y62 2020款 4.0L 中东版,1.6,2020,2020-12,2024-12,2023-12,44.5,大型SUV,白色,前置四驱,2020,途乐,大于20,0.00-3.01
366,凌渡 2019款 230TSI DSG风尚版 国VI,5.3,2020,2020-01,2024-01,2024-01,10.38,紧凑型车,白色,前置前驱,2020,凌渡,10.17 - 12.13,3.01-6.01
367,领克02 2019款 1.5T DCT两驱耀版 国VI,3.9,2020,2020-03,2024-03,2024-03,9.9,紧凑型SUV,白色,前置前驱,2020,领克,8.20 - 10.17,3.01-6.01
368,宝马3系 2018款 320Li xDrive 时尚型,5.02,2018,2018-09,2024-09,2023-09,19.3,中型车,白色,前置四驱,2018,宝马,18.03 - 20.00,3.01-6.01
369,MINI 2014款 1.5T COOPER Fun,4.4,2015,2015-01,2024-01,2024-01,9.98,小型车,白色,前置前驱,2015,MINI,8.20 - 10.17,3.01-6.01
370,别克GL8 2017款 ES 28T 豪华型 国V,11.2,2017,2017-12,2023-12,2023-12,19.38,中大型车,白色,前置前驱,2017,别克,18.03 - 20.00,9.01-12.01
371,宝马X3 2020款 xDrive25i M运动套装,1.83,2020,2020-07,2024-07,2023-07,29.9,中型SUV,白色,前置四驱,2020,宝马,大于20,0.00-3.01
372,途观 2015款 1.8TSI 自动四驱豪华型,8.58,2014,2014-09,2023-09,2023-09,8.68,紧凑型SUV,白色,前置四驱,2014,途观,8.20 - 10.17,6.01-9.01
373,红旗HS7 2021款 2.0T DCT两驱智联旗享版,3.57,2021,2021-05,2023-05,2023-05,18.98,中大型SUV,黑色,前置后驱,2021,红旗,18.03 - 20.00,3.01-6.01
374,Panamera 2010款 Panamera Turbo 4.8T,5.27,2010,2010-06,2023-06,2023-06,43.0,大型车,银/灰色,前置四驱,2010,Panamera,大于20,3.01-6.01
375,宝马3系GT 2019款 320i 时尚型,3.17,2019,2019-02,2025-02,2024-02,19.0,中型车,白色,前置后驱,2019,宝马,18.03 - 20.00,3.01-6.01
376,迈腾 2019款 330TSI DSG 豪华型 国VI,7.8,2020,2020-02,2024-02,2024-02,16.38,中型车,黑色,前置前驱,2020,迈腾,16.07 - 18.03,6.01-9.01
377,Macan 2018款 Macan 2.0T,2.95,2019,2019-02,2025-02,2024-02,43.9,中型SUV,香槟/棕色,前置四驱,2019,Macan,大于20,0.00-3.01
378,高尔夫 2019款 280TSI DSG舒适型 国VI,7.0,2019,2019-10,2023-10,2023-10,9.88,紧凑型车,白色,前置前驱,2019,高尔夫,8.20 - 10.17,6.01-9.01
379,轩逸 2021款 1.6L XL CVT悦享版,3.5,2021,2021-05,2023-05,2023-05,9.98,紧凑型车,白色,前置前驱,2021,轩逸,8.20 - 10.17,3.01-6.01
380,汉兰达 2018款 2.0T 四驱尊贵版 7座 国V,7.3,2019,2019-08,2023-08,2023-08,24.3,中型SUV,白色,前置四驱,2019,汉兰达,大于20,6.01-9.01
381,马自达3 昂克赛拉 2021款 2.0L 自动质炫版,2.3,2021,2021-10,2023-10,2023-10,10.9,紧凑型车,银/灰色,前置前驱,2021,马自达,10.17 - 12.13,0.00-3.01
382,本田CR-V 2013款 2.0L 四驱经典版,9.2,2013,2013-07,2023-07,2023-07,9.88,紧凑型SUV,白色,前置四驱,2013,本田,8.20 - 10.17,9.01-12.01
383,揽胜 2023款 4.4 V8 530PS 首发版,0.6,2022,2022-07,2024-07,2023-07,276.8,中大型SUV,香槟/棕色,前置四驱,2022,揽胜,,0.00-3.01
384,高尔夫 2020款 280TSI DSG舒适型,4.1,2020,2020-08,2024-08,2023-08,10.8,紧凑型车,白色,前置前驱,2020,高尔夫,10.17 - 12.13,3.01-6.01
385,思域 2019款 220TURBO CVT燃动版 国V,6.3,2020,2020-03,2024-03,2024-03,10.5,紧凑型车,红/紫色,前置前驱,2020,思域,10.17 - 12.13,6.01-9.01
386,朗逸 2018款 280TSI DSG舒适版 国V,5.7,2019,2019-06,2023-06,2023-06,8.98,紧凑型车,白色,前置前驱,2019,朗逸,8.20 - 10.17,3.01-6.01
387,路虎卫士 2020款 110 P400 暗黑特别版,4.2,2020,2020-06,2024-06,2023-06,77.8,中大型SUV,香槟/棕色,前置四驱,2020,路虎卫士,大于20,3.01-6.01
388,一汽-大众CC 2013款 1.8TSI 豪华型,14.0,2014,2014-07,2023-07,2023-07,9.38,中型车,白色,前置前驱,2014,一汽-大众,8.20 - 10.17,大于12.01
389,北汽新能源EC3 2019款 灵动版,0.8,2020,2020-10,2024-10,2023-10,4.98,微型车,白色,前置前驱,2020,北汽新能源,4.27 - 6.23,0.00-3.01
390,科鲁兹 2016款 1.5L 自动豪华版,6.6,2015,2015-05,2023-05,2023-05,4.98,紧凑型车,白色,前置前驱,2015,科鲁兹,4.27 - 6.23,6.01-9.01
391,帕杰罗(进口) 2019款 3.8L 中东版,7.0,2020,2020-11,2024-11,2023-11,27.6,中大型SUV,黑色,前置四驱,2020,帕杰罗,大于20,6.01-9.01
392,傲旋 2022款 2.0T AUXUN傲旋大白鲨,2.3,2021,2021-06,2023-06,2023-06,69.8,紧凑型SUV,黑色,前置前驱,2021,傲旋,大于20,0.00-3.01
393,坦克300 2021款 越野版 2.0T 征服者,5.2,2021,2021-01,2025-01,2024-01,20.9,紧凑型SUV,黄/橙色,前置四驱,2021,坦克,大于20,3.01-6.01
394,凯美瑞 2021款 双擎 2.5HG 豪华版,5.0,2021,2021-03,2023-03,2023-03,18.98,中型车,白色,前置前驱,2021,凯美瑞,18.03 - 20.00,3.01-6.01
395,奔驰E级 2017款 E 200 运动型,3.07,2017,2017-03,2024-03,2024-03,25.9,中大型车,白色,前置后驱,2017,奔驰,大于20,3.01-6.01
396,宝马5系 2018款 改款 530Li 领先型 豪华套装,9.8,2018,2018-07,2024-07,2023-07,25.9,中大型车,白色,前置后驱,2018,宝马,大于20,9.01-12.01
397,揽胜极光 2015款 2.0T 五门锐动版,8.2,2016,2016-06,2023-06,2023-06,15.46,中型SUV,白色,前置四驱,2016,揽胜,14.10 - 16.07,6.01-9.01
398,小蚂蚁 2018款 400 4座智享版,4.1,2018,2018-09,2024-09,2023-09,3.98,微型车,蓝色,后置后驱,2018,小蚂蚁,2.30 - 4.27,3.01-6.01
399,Sprinter 2019款 3.5L 自动,3.9,2019,2019-09,2023-09,2023-09,55.8,中大型SUV,黑色,前置后驱,2019,Sprinter,大于20,3.01-6.01
400,宝马1系进口 2013款 改款 116i 领先型,11.0,2013,2013-07,2023-07,2023-07,7.38,紧凑型车,白色,前置后驱,2013,宝马,6.23 - 8.20,9.01-12.01
401,沃尔沃S60 2023款 B4 智逸豪华版,0.26,2022,2022-08,2024-08,2023-08,21.3,中型车,香槟/棕色,前置前驱,2022,沃尔沃,大于20,0.00-3.01
402,坦克300 2021款 越野版 2.0T 征服者,2.7,2022,2022-01,2024-01,2024-01,20.66,紧凑型SUV,黑色,前置四驱,2022,坦克,大于20,0.00-3.01
403,帝豪新能源 2017款 EV300 精英型,11.3,2017,2017-12,2023-12,2023-12,3.98,紧凑型车,白色,前置前驱,2017,帝豪新能源,2.30 - 4.27,9.01-12.01
404,奔驰G级 2022款 G 500,0.7,2022,2022-05,2024-05,2023-05,229.8,中大型SUV,银/灰色,前置四驱,2022,奔驰,,0.00-3.01
405,奥迪A6进口 2015款 3.0T allroad quattro,11.3,2016,2016-01,2024-01,2024-01,23.8,中大型车,白色,前置四驱,2016,奥迪,大于20,9.01-12.01
406,雷克萨斯LM 2020款 300h 七座隽雅版,1.5,2021,2021-07,2023-07,2023-07,143.8,中大型车,黑色,前置四驱,2021,雷克萨斯,,0.00-3.01
407,RAV4荣放 2022款 双擎 2.5L E-CVT两驱精英版,1.6,2021,2021-03,2025-03,2024-03,18.5,紧凑型SUV,白色,前置前驱,2021,RAV4荣放,18.03 - 20.00,0.00-3.01
408,英菲尼迪G系 2013款 G25 Sedan 豪华运动版,11.9,2014,2014-03,2024-03,2024-03,8.98,中型车,白色,前置后驱,2014,英菲尼迪,8.20 - 10.17,9.01-12.01
409,途锐 2019款 3.0TSI 锐锋版 国V,1.92,2020,2020-01,2024-01,2024-01,48.5,中大型SUV,黑色,前置四驱,2020,途锐,大于20,0.00-3.01
410,奥迪RS 6 2018款 RS 6 4.0T Avant尊享运动限量版,4.3,2018,2018-11,2024-11,2023-11,81.8,中大型车,银/灰色,前置四驱,2018,奥迪,大于20,3.01-6.01
411,凯美瑞 2018款 2.0G 豪华版,11.0,2018,2018-08,2024-08,2023-08,11.98,中型车,黑色,前置前驱,2018,凯美瑞,10.17 - 12.13,9.01-12.01
412,甲壳虫 2014款 1.2TSI 时尚型,8.0,2016,2016-03,2024-03,2024-03,9.94,紧凑型车,红/紫色,前置前驱,2016,甲壳虫,8.20 - 10.17,6.01-9.01
413,宝马5系 2022款 530Li 领先型 M运动套装,1.9,2022,2022-10,2024-10,2023-10,41.69,中大型车,白色,前置后驱,2022,宝马,大于20,0.00-3.01
