title,行驶距离(万公里),year,上牌时间,年检到期,保险到期,price,车辆级别,车身颜色,驱动方式,出厂日期
福特F-150 2019款 3.5T LTD,8.4, 2020,2020-07,2024-07,2023-07,32.89,皮卡,蓝色,前置四驱, 2020 
宝马3系 2018款 320Li 时尚型,7.9, 2017,2017-12,2023-12,2023-12,16.2,中型车,白色,前置后驱, 2017 
奥迪S3 2017款 改款 S3 2.0T Limousine,4.7, 2019,2019-01,2025-01,2024-01,23.98,紧凑型车,蓝色,前置四驱, 2019 
奥迪SQ5 2021款 3.0 TFSI quattro,0.28,未上牌,,,,46.7,中型SUV,绿色,前置四驱,未上牌
奥迪SQ5 2021款 3.0 TFSI quattro,0.33,未上牌,,,,52.7,中型SUV,黑色,前置四驱,未上牌
奇骏 2019款 2.0L CVT智联舒适版 2WD,8.6, 2019,2019-01,2025-01,2024-01,11.58,紧凑型SUV,白色,前置前驱, 2019 
马自达CX-4 2020款 2.0L 自动两驱蓝天品位版,6.75, 2020,2020-06,2024-06,2023-06,10.46,紧凑型SUV,白色,前置前驱, 2020 
奥迪A3 2020款 改款 Limousine 35 TFSI 进取型 国VI,2.8, 2020,2020-12,2024-12,2023-12,11.86,紧凑型车,红/紫色,前置前驱, 2020 
高尔夫 2015款 1.4TSI 自动舒适型,7.5, 2015,2015-10,2023-10,2023-10,6.56,紧凑型车,白色,前置前驱, 2015 
领动 2016款 1.6L 自动智炫·精英型,7.8, 2018,2018-07,2024-07,2023-07,6.3,紧凑型车,白色,前置前驱, 2018 
雷凌 2017款 改款 185T CVT精英版 国VI,3.1, 2019,2019-03,2025-03,2024-03,7.38,紧凑型车,白色,前置前驱, 2019 
保时捷718 2018款 Cayman 2.0T,3.55, 2018,2018-03,2024-03,2024-03,42.88,跑车,银/灰色,中置后驱, 2018 
宝马1系 2019款 118i M运动套装,3.9, 2019,2019-01,2025-01,2024-01,10.98,紧凑型车,白色,前置前驱, 2019 
奔驰A级 2019款 A 200 L 运动轿车,4, 2019,2019-09,2023-09,2023-09,15.5,紧凑型车,银/灰色,前置前驱, 2019 
马自达3 昂克赛拉 2014款 三厢 1.5L 自动豪华型,6.1, 2015,2015-01,2024-01,2024-01,5.88,紧凑型车,红/紫色,前置前驱, 2015 
途观L 2019款 改款 330TSI 自动两驱R-Line旗舰版 国VI,7, 2020,2020-04,2024-04,2024-04,15.98,中型SUV,白色,前置前驱, 2020 
奔驰E级 2019款 E 200 L,11.3, 2019,2019-01,2025-01,2024-01,29.28,中大型车,黑色,前置后驱, 2019 
前途K50 2018款 标准型,4.1, 2020,2020-01,2024-01,2024-01,30.89,跑车,红/紫色,双电机四驱, 2020 
高尔夫 2019款 1.6L 自动舒适型 国V,5.9, 2019,2019-01,2025-01,2024-01,9.28,紧凑型车,白色,前置前驱, 2019 
杰德 2017款 1.8L 自动舒适版 5座,6.6, 2018,2018-01,2024-01,2024-01,8.8,紧凑型车,红/紫色,前置前驱, 2018 
宝马5系 2018款 528Li 上市特别版,6.6, 2018,2018-03,2024-03,2023-03,26.98,中大型车,香槟/棕色,前置后驱, 2018 
比亚迪M6 2015款 2.4L 自动尊贵版,10, 2017,2017-02,2024-02,2024-02,5.5,中大型车,红/紫色,前置前驱, 2017 
君威 2014款 1.6T 时尚技术型,9.6, 2014,2014-12,2023-12,2023-12,4.78,中型车,白色,前置前驱, 2014 
比亚迪F3 2020款 1.5L 手动超值版,0.6, 2021,2021-05,2025-05,2024-05,4.1,紧凑型车,白色,前置前驱, 2021 
奥迪A6L 2017款 TFSI 技术型,13.7, 2017,2017-10,2023-10,2023-10,18.3,中大型车,黑色,前置前驱, 2017 
奥迪Q5 2017款 40 TFSI 技术型,15.6, 2017,2017-07,2023-07,2023-07,15.8,中型SUV,白色,前置四驱, 2017 
桑塔纳 2018款 1.5L 手动风尚版,9.81, 2019,2019-06,2023-06,2023-06,4.18,紧凑型车,白色,前置前驱, 2019 
哈弗H6 2021款 2.0GDIT 自动冠军版,4.15, 2021,2021-01,2025-01,2024-01,8.88,紧凑型SUV,白色,前置前驱, 2021 
高尔夫 2020款 200TSI DSG舒适进取版,4, 2020,2020-04,2024-04,2023-04,8.98,紧凑型车,白色,前置前驱, 2020 
奥迪A6L 2022款 45 TFSI 臻选动感型,2.2, 2022,2022-06,2024-06,2023-06,35.8,中大型车,黑色,前置前驱, 2022 
奥迪A4L 2022款 40 TFSI 时尚致雅型,0.01, 2023,2023-05,2025-05,2024-05,26.6,中型车,白色,前置前驱, 2023 
奥迪A4L 2022款 40 TFSI quattro RS套件燃速型,0.67, 2022,2022-01,2024-01,2024-01,27.6,中型车,银/灰色,前置四驱, 2022 
奥迪Q2L 2022款 35 TFSI 进取动感型,0.01, 2023,2023-03,2025-03,2024-03,15.98,小型SUV,白色,前置前驱, 2023 
奥迪A3 2021款 Sportback 35 TFSI 进取运动型,0.74, 2022,2022-02,2024-02,2024-02,15.68,紧凑型车,白色,前置前驱, 2022 
奥迪A3 2022款 Sportback 35 TFSI 时尚运动型,0.01, 2023,2023-05,2025-05,2023-05,17.5,紧凑型车,白色,前置前驱, 2023 
RAV4荣放 2020款 2.0L CVT两驱风尚版,2, 2021,2021-01,2025-01,2024-01,14.98,紧凑型SUV,黑色,前置前驱, 2021 
奥迪A4L 2020款 40 TFSI 豪华动感型,3.18, 2021,2021-01,2025-01,2024-01,22.98,中型车,银/灰色,前置前驱, 2021 
奥迪A3 2022款 A3L Limousine 35 TFSI 时尚运动型,0.01, 2023,2023-03,2025-03,2023-03,17.98,紧凑型车,银/灰色,前置前驱, 2023 
奥迪A6L 2012款 TFSI 舒适型,20.3, 2013,2013-08,2023-08,2023-08,11.28,中大型车,黑色,前置前驱, 2013 
赛那SIENNA 2021款 2.5L混动 豪华版,0.9, 2022,2022-09,2024-09,2023-09,39.78,中大型车,黑色,前置前驱, 2022 
Passat 2008款 R36 旅行版,14.3, 2011,2011-06,2023-06,2023-06,14.88,中型车,蓝色,前置四驱, 2011 
揽胜 2013款 NA 5.0 V8 Vogue,15, 2013,2013-10,2023-10,2023-10,58.0,中大型SUV,白色,前置四驱, 2013 
翼虎 2013款 1.6L GTDi 四驱精英型,0.6, 2013,2013-12,2023-12,2023-12,7.98,紧凑型SUV,香槟/棕色,前置四驱, 2013 
普拉多 2018款 3.5L 自动TX-L,11, 2018,2018-04,2024-04,2024-04,42.5,中大型SUV,白色,前置四驱, 2018 
奔驰G级AMG 2021款 AMG G 63,1.41, 2022,2022-08,2024-08,2023-08,275.0,中大型SUV,白色,前置四驱, 2022 
揽胜 2023款 改款 3.0 L6 400PS 盛世加长版,0.01, 2023,2023-06,2025-06,2023-06,181.9,中大型SUV,白色,前置四驱, 2023 
Panamera 2019款 Panamera 4 行政加长版 2.9T,4.2, 2020,2020-06,2024-06,2023-06,102.5,大型车,香槟/棕色,前置四驱, 2020 
途乐 2017款 4.0L 自动,3.93, 2018,2018-01,2024-01,2024-01,35.5,大型SUV,白色,前置四驱, 2018 
飞驰 2012款 6.0T 限量版,7.6, 2013,2013-01,2024-01,2024-01,88.88,大型车,香槟/棕色,前置四驱, 2013 
奔驰GLC 2022款 GLC 260 L 4MATIC 豪华型,2.2, 2021,2021-12,2023-12,2023-12,37.9,中型SUV,黑色,前置四驱, 2021 
奔驰GLS 2020款 GLS 450 4MATIC 豪华型,2.7, 2020,2020-05,2024-05,2023-05,95.8,大型SUV,黑色,前置四驱, 2020 
奔驰E级 2021款 改款 E 300 L 豪华型,2.1, 2022,2022-04,2024-04,2024-04,41.58,中大型车,黑色,前置后驱, 2022 
奔驰EQS 2022款 450+ 先锋版,0.1, 2023,2023-01,2025-01,2024-01,63.8,大型车,银/灰色,后置后驱, 2023 
奔驰EQC 2022款 EQC 350 4MATIC 特别版,2.4, 2022,2022-04,2024-04,2024-04,26.6,中型SUV,白色,双电机四驱, 2022 
日产GT-R 2017款 3.8T 旗舰版,0.6, 2018,2018-07,2024-07,2023-07,169.8,跑车,黄/橙色,前置四驱, 2018 
宝马5系新能源 2021款 535Le 先锋版M运动套装,2.49, 2021,2021-04,2023-04,2023-04,37.68,中大型车,白色,前置后驱, 2021 
凯迪拉克CT6 2020款 28T 豪华型,3.1, 2021,2021-01,2025-01,2024-01,25.7,中大型车,白色,前置后驱, 2021 
凯迪拉克CT4 2022款 28T 风尚型,0.43, 2023,2023-01,2025-01,2024-01,18.3,中型车,白色,前置后驱, 2023 
凯迪拉克XT4 2022款 28T 两驱尊贵型,0.8, 2022,2022-10,2024-10,2023-10,21.8,紧凑型SUV,黑色,前置前驱, 2022 
沃尔沃XC90 2023款 B5 智行豪华版 7座,1.5, 2022,2022-08,2024-08,2023-08,45.9,中大型SUV,黑色,前置四驱, 2022 
宝马2系 2023款 M240i,0.15, 2023,2023-04,2025-04,2024-04,42.8,紧凑型车,黑色,前置后驱, 2023 
捷豹F-PACE 2023款 P250 R-Dynamic BLACK,0.41, 2023,2023-03,2025-03,2024-03,36.5,中型SUV,银/灰色,前置四驱, 2023 
昂科旗 2020款 28T 四驱尊贵型,2.3, 2021,2021-01,2025-01,2024-01,21.98,中大型SUV,蓝色,前置四驱, 2021 
奔驰GLC 2016款 GLC 260 4MATIC 动感型,10.18, 2016,2016-12,2023-12,2023-12,22.98,中型SUV,白色,前置四驱, 2016 
哈弗H6 2021款 1.5T 自动冠军版,3.91, 2021,2021-04,2025-04,2024-03,7.88,紧凑型SUV,白色,前置前驱, 2021 
发现 2023款 改款 360PS R-Dynamic SE,0.01, 2023,2023-05,2025-05,2023-05,69.9,中大型SUV,银/灰色,前置四驱, 2023 
奥迪A3 2020款 Limousine 35 TFSI 时尚型 国VI,3.21, 2020,2020-07,2024-07,2023-07,13.3,紧凑型车,白色,前置前驱, 2020 
雅阁 2011款 2.4L EXL Navi,11.8, 2011,2011-01,2024-01,2024-01,7.98,中型车,黑色,前置前驱, 2011 
高尔夫进口 2019款 1.8TSI 旅行版,2.43, 2019,2019-07,2023-07,2023-07,14.58,紧凑型车,白色,前置前驱, 2019 
领动 2016款 1.6L 自动智炫·精英型,7.15, 2018,2018-04,2024-04,2024-04,6.28,紧凑型车,白色,前置前驱, 2018 
星瑞 2021款 2.0TD 豪华型,0.53, 2022,2022-05,2024-05,2024-05,10.35,紧凑型车,白色,前置前驱, 2022 
马自达3 昂克赛拉 2019款 云控版 三厢 1.5L 自动豪华型 国VI,6.32, 2020,2020-01,2024-01,2024-01,8.45,紧凑型车,红/紫色,前置前驱, 2020 
帝豪GS 2020款 1.4T CVT雅,2.4, 2021,2021-02,2025-02,2024-02,6.98,紧凑型SUV,白色,前置前驱, 2021 
奕泽IZOA 2018款 2.0L 奕驰版 国VI,4.09, 2020,2020-01,2024-01,2024-01,9.65,小型SUV,红/紫色,前置前驱, 2020 
探岳 2020款 330TSI 两驱豪华智联版,3.8, 2021,2021-01,2025-01,2024-01,15.58,中型SUV,白色,前置前驱, 2021 
Taycan 2020款 Taycan,3, 2021,2021-04,2025-04,2024-04,73.5,中大型车,白色,后置后驱, 2021 
雷克萨斯LX 2019款 570 尊贵豪华版,5.6, 2020,2020-06,2024-06,2023-06,163.8,大型SUV,黑色,前置四驱, 2020 
奔驰E级 2019款 改款 E 300 L 运动时尚型,2.29, 2019,2019-06,2023-06,2023-06,35.5,中大型车,黑色,前置后驱, 2019 
奥迪A6L新能源 2022款 55 TFSI e quattro,0.14, 2023,2023-05,2025-05,2024-05,39.8,中大型车,黑色,前置四驱, 2023 
奥迪Q5L 2018款 40 TFSI 荣享时尚型 国V,4.78, 2018,2018-08,2024-08,2023-08,25.8,中型SUV,白色,前置四驱, 2018 
北京BJ40 2019款 2.3T 自动四驱环塔冠军版 国VI,6.1, 2020,2020-07,2024-07,2023-07,12.68,紧凑型SUV,蓝色,前置四驱, 2020 
别克GL8 2021款 陆上公务舱 652T 豪华型,5.3, 2021,2021-11,2023-11,2023-11,21.5,中大型车,白色,前置前驱, 2021 
宝马5系 2011款 523Li 领先型,10.48, 2011,2011-09,2023-09,2023-09,12.6,中大型车,银/灰色,前置后驱, 2011 
唐新能源 2019款 EV600D 四驱智联创世版,9.2, 2019,2019-10,2023-10,2023-10,16.28,中型SUV,红/紫色,双电机四驱, 2019 
别克GL8 2023款 ES陆尊 舒适型,0.01, 2023,2023-02,2025-02,2024-02,34.9,中大型车,白色,前置前驱, 2023 
威尔法 2019款 双擎 2.5L HV尊贵版,10.21, 2020,2020-01,2024-01,2024-01,73.5,中型SUV,白色,前置四驱, 2020 
凯迪拉克XT4 2018款 28T 四驱铂金版,9.8, 2019,2019-05,2025-05,2024-05,16.8,紧凑型SUV,白色,前置四驱, 2019 
奥迪Q5 2015款 40 TFSI 舒适型,7.7, 2015,2015-09,2023-09,2023-09,16.58,中型SUV,黑色,前置四驱, 2015 
奥迪A6L 2021款 40 TFSI 豪华动感型,6.7, 2021,2021-01,2025-01,2024-01,31.98,中大型车,黑色,前置前驱, 2021 
Mustang 2018款 2.3L EcoBoost,5.6, 2018,2018-09,2024-09,2023-09,21.58,跑车,黑色,前置后驱, 2018 
途昂 2020款 380TSI 四驱豪华版 国VI,7, 2020,2020-03,2024-03,2024-03,22.98,中大型SUV,黑色,前置四驱, 2020 
途昂 2017款 530 V6 四驱至尊旗舰版,10, 2017,2017-10,2023-10,2023-10,21.58,中大型SUV,黑色,前置四驱, 2017 
普拉多 2019款 3.5L 自动TX-L尊享版后挂备胎,6.3, 2020,2020-06,2024-06,2023-06,53.6,中大型SUV,白色,前置四驱, 2020 
RAV4荣放 2019款 2.0L CVT两驱风尚版 国VI,8.6, 2019,2019-08,2023-08,2023-08,12.98,紧凑型SUV,白色,前置前驱, 2019 
奔驰C级 2020款 C 260 L 运动版,1.99, 2020,2020-04,2024-04,2024-04,25.3,中型车,白色,前置后驱, 2020 
传祺M8 2021款 大师系列 390T 尊贵版,3.55, 2021,2021-07,2023-07,2023-07,20.8,中大型车,白色,前置前驱, 2021 
本田CR-V 2021款 240TURBO CVT两驱都市版,4, 2021,2021-07,2023-07,2023-07,15.68,紧凑型SUV,黑色,前置前驱, 2021 
奥迪Q3 2019款 40 TFSI quattro 时尚动感型,5.6, 2019,2019-11,2023-11,2023-11,18.6,紧凑型SUV,白色,前置四驱, 2019 
发现神行 2017款 2.0T SE,7, 2017,2017-10,2023-10,2023-10,15.98,中型SUV,白色,前置四驱, 2017 
奔驰C级 2015款 改款 C 200 L 运动型,6.6, 2016,2016-01,2024-01,2024-01,17.66,中型车,白色,前置后驱, 2016 
甲壳虫 2018款 180TSI 宜乐型,4.72, 2020,2020-05,2024-05,2024-05,13.9,紧凑型车,蓝色,前置前驱, 2020 
途锐 2017款 3.0TSI 拓野型,7.1, 2018,2018-07,2024-07,2023-07,33.8,中大型SUV,黑色,前置四驱, 2018 
奔驰GLA 2017款 GLA 220 4MATIC 时尚型,4.65, 2018,2018-03,2024-03,2024-03,16.8,紧凑型SUV,白色,前置四驱, 2018 
速腾 2019款 280TSI DSG舒适型 国VI,5, 2020,2020-04,2024-04,2024-04,11.3,紧凑型车,白色,前置前驱, 2020 
伊兰特 2021款 240TGDi DCT TOP旗舰版,0.5, 2021,2021-06,2023-06,2023-06,9.88,紧凑型车,红/紫色,前置前驱, 2021 
博瑞 2018款 1.5T MHEV 耀享版,4.8, 2018,2018-11,2024-11,2023-11,8.88,中型车,黑色,前置前驱, 2018 
普拉多(进口) 2014款 中东版,13.2, 2013,2013-12,2023-12,2023-12,25.8,中大型SUV,白色,前置四驱, 2013 
雷克萨斯RX 2020款 300 四驱典雅版 国VI,1.7, 2022,2022-04,2024-04,2024-04,43.88,中大型SUV,香槟/棕色,前置四驱, 2022 
途乐 2018款 4.0L 铂金型,2.71, 2019,2019-11,2025-11,2024-04,42.8,大型SUV,白色,前置四驱, 2019 
揽胜运动版 2017款 3.0 SC V6 HSE DYNAMIC,10.35, 2018,2018-01,2024-01,2024-01,53.0,中大型SUV,白色,前置四驱, 2018 
奔驰A级AMG进口 2016款 AMG A 45 4MATIC,3.99, 2017,2017-02,2024-02,2024-02,22.5,紧凑型车,银/灰色,前置四驱, 2017 
雷克萨斯ES 2014款 300h 舒适版,5.96, 2015,2015-08,2023-08,2023-08,17.5,中大型车,白色,前置前驱, 2015 
捷豹XF 2015款 XF 3.0 SC R-Sport 豪华版,8, 2015,2015-05,2023-05,2023-05,15.88,中大型车,香槟/棕色,前置后驱, 2015 
奥迪A4L 2019款 40 TFSI 进取型 国VI,3.6, 2020,2020-05,2024-05,2023-05,19.58,中型车,香槟/棕色,前置前驱, 2020 
汉兰达 2017款 2.0T 四驱豪华版 7座,5.9, 2017,2017-08,2023-08,2023-08,20.5,中型SUV,白色,前置四驱, 2017 
奥迪Q5 2016款 40 TFSI 舒适型,12, 2016,2016-08,2023-09,2023-09,15.3,中型SUV,白色,前置四驱, 2016 
奔驰C级 2013款 C 180 经典型 Grand Edition,6.8, 2014,2014-07,2023-07,2023-07,9.58,中型车,蓝色,前置后驱, 2014 
宝马5系 2014款 525Li 领先型,8.9, 2015,2015-05,2024-05,2024-05,17.9,中大型车,白色,前置后驱, 2015 
奥迪A4L 2015款 45 TFSI quattro个性运动型,6.32, 2014,2014-09,2023-09,2023-09,12.38,中型车,白色,前置四驱, 2014 
小鹏P5 2021款 550G,1.6, 2022,2022-01,2024-01,2024-01,13.78,紧凑型车,黑色,前置前驱, 2022 
甲壳虫 2013款 1.4TSI 舒适型,6.5, 2013,2013-03,2024-03,2024-03,8.6,紧凑型车,银/灰色,前置前驱, 2013 
科沃兹 2019款 320 自动欣悦版,7.1, 2018,2018-12,2024-12,2023-12,4.85,紧凑型车,白色,前置前驱, 2018 
奥迪A4L 2020款 40 TFSI 时尚动感型,3.37, 2021,2021-06,2023-06,2023-06,23.6,中型车,白色,前置前驱, 2021 
奔驰GLC 2021款 GLC 260 L 4MATIC 豪华型,2.18, 2021,2021-02,2025-02,2024-02,35.5,中型SUV,白色,前置四驱, 2021 
宝马5系 2019款 525Li M运动套装,6.1, 2019,2019-03,2025-03,2024-03,28.8,中大型车,白色,前置后驱, 2019 
奔驰S级 2016款 S 400 4MATIC 轿跑版,4.78, 2017,2017-07,2023-07,2023-07,72.3,大型车,黑色,前置四驱, 2017 
雷克萨斯LX 2017款 570 巅峰特别限量版,8.74, 2017,2017-11,2023-11,2023-11,136.8,大型SUV,白色,前置四驱, 2017 
卡罗拉 2021款 1.2T S-CVT精英PLUS版,1.8, 2022,2022-06,2024-06,2023-06,10.3,紧凑型车,白色,前置前驱, 2022 
思域 2022款 240TURBO CVT劲动版,0.2, 2022,2022-06,2024-06,2023-06,12.6,紧凑型车,白色,前置前驱, 2022 
威霆 2016款 2.0T 商务版,7.19, 2017,2017-09,2023-09,2023-09,21.6,中大型车,银/灰色,前置后驱, 2017 
途昂 2017款 330TSI 两驱豪华版,7.8, 2018,2018-12,2024-12,2023-12,18.8,中大型SUV,黑色,前置前驱, 2018 
甲壳虫 2017款 180TSI 尚乐版,3.9, 2018,2018-08,2024-08,2023-08,14.38,紧凑型车,白色,前置前驱, 2018 
奔驰C级 2021款 C 260 L 运动版,4.6, 2021,2021-06,2023-06,2023-06,26.2,中型车,白色,前置后驱, 2021 
Model 3 2021款 标准续航后驱升级版,2.2, 2021,2021-04,2025-04,2024-04,19.2,中型车,黑色,后置后驱, 2021 
奔驰GLB 2020款 GLB 200 时尚型,3.5, 2019,2019-12,2023-12,2023-12,20.5,紧凑型SUV,香槟/棕色,前置前驱, 2019 
炮 2019款 2.0T自动汽油四驱运动版GW4C20B,3, 2020,2020-03,2024-03,2024-03,11.88,皮卡,黑色,前置四驱, 2020 
翼虎 2019款 EcoBoost 180 两驱豪翼型 国V,6, 2020,2020-03,2024-03,2024-03,9.98,紧凑型SUV,白色,前置前驱, 2020 
Model 3 2021款 标准续航后驱升级版,3.3, 2021,2021-03,2025-03,2024-03,18.3,中型车,黑色,后置后驱, 2021 
宝马3系 2019款 320Li M运动套装,7.5, 2019,2019-03,2025-03,2024-03,19.68,中型车,白色,前置后驱, 2019 
奔驰A级 2021款 A 200 L 运动轿车时尚型,2.5, 2021,2021-06,2023-06,2023-06,18.6,紧凑型车,白色,前置前驱, 2021 
宝马3系 2016款 320Li 时尚型,7, 2016,2016-01,2024-01,2024-01,15.6,中型车,白色,前置后驱, 2016 
奥迪A3 2016款 Limousine 35 TFSI 领英型,6.6, 2016,2016-08,2023-08,2023-08,9.8,紧凑型车,白色,前置前驱, 2016 
欧蓝德 2019款 2.0L 两驱畅享版 5座 国VI,5.7, 2019,2019-02,2025-02,2024-02,10.3,紧凑型SUV,黑色,前置前驱, 2019 
奥迪S3 2017款 S3  2.0T Limousine,8.4, 2017,2017-04,2024-04,2024-04,16.98,紧凑型车,白色,前置四驱, 2017 
唐新能源 2021款 DM 2.0T 四驱高性能版尊荣型,4.8, 2021,2021-01,2025-01,2024-01,18.8,中型SUV,黑色,前置四驱, 2021 
蓝鸟 2020款 1.6L CVT炫酷版,2, 2021,2021-02,2025-02,2024-02,8.38,紧凑型车,白色,前置前驱, 2021 
途观 2016款 300TSI 自动四驱豪华版,9.2, 2016,2016-04,2024-04,2024-04,9.68,紧凑型SUV,白色,前置四驱, 2016 
凯迪拉克XT6 2021款 28T 七座豪华型,2.1, 2021,2021-04,2025-04,2024-04,30.98,中大型SUV,黑色,前置前驱, 2021 
奔腾T77 2020款 PRO 280 TID 自动豪华型,2, 2022,2022-06,2024-06,2023-06,7.38,紧凑型SUV,白色,前置前驱, 2022 
奔驰GLS 2018款 GLS 400 4MATIC动感型,6.4, 2018,2018-04,2024-04,2024-04,64.9,大型SUV,黑色,前置四驱, 2018 
牧马人 2019款 2.0T Sahara 四门版 国V,4.4, 2020,2020-11,2024-11,2023-11,37.8,中型SUV,黑色,前置四驱, 2020 
奔驰R级 2011款 R 300 L 商务型,13, 2014,2014-02,2024-02,2024-02,13.68,中大型车,白色,前置后驱, 2014 
冒险家 2022款 2.0T 两驱尊享版,0.89, 2022,2022-04,2024-04,2024-04,20.88,紧凑型SUV,黑色,前置前驱, 2022 
哈弗H5 2018款 经典版 2.0T 手动四驱精英型,8, 2018,2018-05,2024-05,2023-05,6.5,紧凑型SUV,白色,前置四驱, 2018 
海豚 2021款 405km 时尚版,1.8, 2022,2022-04,2024-04,2024-04,10.18,小型车,红/紫色,前置前驱, 2022 
Levante 2018款 3.0T 经典版,3.08, 2018,2018-05,2024-05,2023-05,54.5,中大型SUV,白色,前置四驱, 2018 
途昂 2020款 380TSI 四驱豪华版 国VI,6, 2021,2021-01,2025-01,2024-01,24.8,中大型SUV,黑色,前置四驱, 2021 
宝马5系 2020款 525Li 豪华套装,5.92, 2020,2020-04,2024-04,2024-04,29.9,中大型车,香槟/棕色,前置后驱, 2020 
高尔夫 2019款 280TSI DSG舒适型 国VI,4.5, 2019,2019-09,2023-09,2023-09,9.98,紧凑型车,白色,前置前驱, 2019 
宝马M4 2021款 M4双门轿跑车 雷霆版,3.5, 2021,2021-07,2023-07,2023-07,78.8,中型车,黄/橙色,前置后驱, 2021 
T-ROC探歌 2020款 280TSI DSG两驱进取型,4.5, 2020,2020-06,2024-06,2023-06,10.38,紧凑型SUV,白色,前置前驱, 2020 
长安CS75 2016款 2.0L 手动豪华型 国V,13, 2016,2016-10,2023-10,2023-10,4.16,紧凑型SUV,香槟/棕色,前置前驱, 2016 
甲壳虫 2018款 180TSI 宜乐型,2.6, 2019,2019-02,2025-02,2024-02,13.5,紧凑型车,红/紫色,前置前驱, 2019 
别克GL8 2020款 陆上公务舱 652T 豪华型,5.4, 2020,2020-06,2024-06,2023-06,21.3,中大型车,香槟/棕色,前置前驱, 2020 
MINI 2016款 2.0T COOPER S,6.2, 2016,2016-04,2023-04,2023-04,15.55,小型车,白色,前置前驱, 2016 
奔驰A级 2022款 改款 A 200 L 运动轿车时尚型,2.1, 2022,2022-06,2024-06,2023-06,18.8,紧凑型车,红/紫色,前置前驱, 2022 
奔驰C级 2013款 C 180 经典型 Grand Edition,11, 2014,2014-09,2023-09,2023-09,8.68,中型车,红/紫色,前置后驱, 2014 
奔驰GLC 2018款 GLC 260 4MATIC 豪华型,9.5, 2017,2017-12,2023-12,2023-12,23.99,中型SUV,黑色,前置四驱, 2017 
锐界 2017款 EcoBoost 245 两驱铂锐型 5座,8.9, 2017,2017-09,2023-09,2023-09,11.3,中型SUV,白色,前置前驱, 2017 
凯美瑞 2019款 2.5G 豪华版 国V,6.3, 2020,2020-03,2024-03,2024-03,14.98,中型车,黑色,前置前驱, 2020 
奥迪A6L 2016款 30 FSI 技术型,5.6, 2016,2016-01,2024-01,2024-01,23.88,中大型车,黑色,前置前驱, 2016 
奥迪A4L 2016款 35 TFSI 典藏版 自动标准型,8.2, 2016,2016-06,2023-06,2023-06,12.8,中型车,白色,前置前驱, 2016 
宝马1系进口 2016款 120i 领先型,6.9, 2017,2017-06,2023-06,2023-06,13.6,紧凑型车,白色,前置后驱, 2017 
