title,行驶距离(万公里),year,上牌时间,年检到期,保险到期,price,车辆级别,车身颜色,驱动方式,出厂日期
奇骏 2017款 2.5L CVT领先版 4WD,7.9, 2018,2018-05,2024-05,2023-05,13.6,紧凑型SUV,白色,前置四驱, 2018 
哈弗H6 2017款 蓝标 运动版 1.5T 自动两驱豪华型,6.8, 2017,2017-05,2023-05,2023-05,5.6,紧凑型SUV,白色,前置前驱, 2017 
帕杰罗·劲畅 2013款 3.0L 自动四驱行政版,11.2, 2017,2017-12,2023-12,2023-12,11.78,中型SUV,白色,前置四驱, 2017 
途乐 2018款 4.0L 领英型,1.7, 2019,2019-01,2025-01,2024-01,37.5,大型SUV,白色,前置四驱, 2019 
沃尔沃XC60 2017款 T5 AWD 智远升级版,9.6, 2018,2018-01,2024-01,2024-01,15.8,中型SUV,香槟/棕色,前置四驱, 2018 
理想ONE 2021款 增程6座版,5, 2021,2021-11,2023-11,2023-11,23.8,中大型SUV,银/灰色,双电机四驱, 2021 
宝马3系 2016款 320Li 时尚型,5, 2016,2016-04,2024-04,2024-04,15.38,中型车,白色,前置后驱, 2016 
牧马人 2021款 2.0T 罗宾汉四门版,1.1, 2023,2023-02,2025-02,2024-02,48.6,中型SUV,红/紫色,前置四驱, 2023 
揽胜 2018款 3.0 SC V6 Vogue 传世版,3.01, 2019,2019-11,2023-11,2023-11,105.9,中大型SUV,红/紫色,前置四驱, 2019 
兰德酷路泽(进口) 2019款 4.0L 中东版,3.3, 2020,2020-03,2024-03,2024-03,81.8,中大型SUV,白色,前置四驱, 2020 
传祺M8 2021款 领秀系列 390T 尊贵版,4.9, 2021,2021-04,2025-04,2024-04,19.98,中大型车,黑色,前置前驱, 2021 
高尔夫 2017款 1.6L 自动舒适百万辆纪念版,6, 2017,2017-06,2023-06,2023-06,7.5,紧凑型车,白色,前置前驱, 2017 
兰德酷路泽(进口) 2012款 中东版,16.8, 2011,2011-02,2024-02,2024-02,45.8,中大型SUV,绿色,前置四驱, 2011 
探险者 2020款 EcoBoost 285 四驱风尚版 6座,3.8, 2021,2021-02,2025-02,2024-02,26.58,中大型SUV,白色,前置四驱, 2021 
凯路威 2016款 2.0TSI 两驱舒适版 9座,8.9, 2017,2017-08,2023-08,2023-08,24.2,中大型SUV,黑色,前置前驱, 2017 
别克GL8 2020款 ES陆尊 653T 舒适型,7.1, 2021,2021-01,2025-01,2024-01,29.6,中大型车,白色,前置前驱, 2021 
奔驰E级 2020款 改款 E 300 L 时尚型,5.1, 2020,2020-05,2024-05,2023-05,37.98,中大型车,黑色,前置后驱, 2020 
普拉多 2014款 4.0L 自动VX NAVI,7.7, 2014,2014-08,2023-08,2023-08,46.8,中大型SUV,白色,前置四驱, 2014 
奔驰S级 2019款 S 350 L 豪华型,5.29, 2019,2019-08,2023-08,2023-08,72.5,大型车,黑色,前置后驱, 2019 
迈锐宝 2018款 530T 自动豪华版,8.5, 2018,2018-05,2024-05,2023-05,6.68,中型车,白色,前置前驱, 2018 
奥迪Q3 2018款 30周年年型 30 TFSI 时尚型,7.3, 2018,2018-12,2024-12,2023-12,12.5,紧凑型SUV,香槟/棕色,前置前驱, 2018 
途乐Y62 2020款 4.0L 中东版,1.6, 2020,2020-12,2024-12,2023-12,44.5,大型SUV,白色,前置四驱, 2020 
凌渡 2019款 230TSI DSG风尚版 国VI,5.3, 2020,2020-01,2024-01,2024-01,10.38,紧凑型车,白色,前置前驱, 2020 
领克02 2019款 1.5T DCT两驱耀版 国VI,3.9, 2020,2020-03,2024-03,2024-03,9.9,紧凑型SUV,白色,前置前驱, 2020 
宝马3系 2018款 320Li xDrive 时尚型,5.02, 2018,2018-09,2024-09,2023-09,19.3,中型车,白色,前置四驱, 2018 
MINI 2014款 1.5T COOPER Fun,4.4, 2015,2015-01,2024-01,2024-01,9.98,小型车,白色,前置前驱, 2015 
别克GL8 2017款 ES 28T 豪华型 国V,11.2, 2017,2017-12,2023-12,2023-12,19.38,中大型车,白色,前置前驱, 2017 
宝马X3 2020款 xDrive25i M运动套装,1.83, 2020,2020-07,2024-07,2023-07,29.9,中型SUV,白色,前置四驱, 2020 
途观 2015款 1.8TSI 自动四驱豪华型,8.58, 2014,2014-09,2023-09,2023-09,8.68,紧凑型SUV,白色,前置四驱, 2014 
红旗HS7 2021款 2.0T DCT两驱智联旗享版,3.57, 2021,2021-05,2023-05,2023-05,18.98,中大型SUV,黑色,前置后驱, 2021 
Panamera 2010款 Panamera Turbo 4.8T,5.27, 2010,2010-06,2023-06,2023-06,43.0,大型车,银/灰色,前置四驱, 2010 
宝马3系GT 2019款 320i 时尚型,3.17, 2019,2019-02,2025-02,2024-02,19.0,中型车,白色,前置后驱, 2019 
发现运动版新能源 2022款 P300e 性能科技版,1.3,未上牌,,,,26.6,中型SUV,香槟/棕色,前置四驱,未上牌
迈腾 2019款 330TSI DSG 豪华型 国VI,7.8, 2020,2020-02,2024-02,2024-02,16.38,中型车,黑色,前置前驱, 2020 
Macan 2018款 Macan 2.0T,2.95, 2019,2019-02,2025-02,2024-02,43.9,中型SUV,香槟/棕色,前置四驱, 2019 
高尔夫 2019款 280TSI DSG舒适型 国VI,7, 2019,2019-10,2023-10,2023-10,9.88,紧凑型车,白色,前置前驱, 2019 
轩逸 2021款 1.6L XL CVT悦享版,3.5, 2021,2021-05,2023-05,2023-05,9.98,紧凑型车,白色,前置前驱, 2021 
汉兰达 2018款 2.0T 四驱尊贵版 7座 国V,7.3, 2019,2019-08,2023-08,2023-08,24.3,中型SUV,白色,前置四驱, 2019 
马自达3 昂克赛拉 2021款 2.0L 自动质炫版,2.3, 2021,2021-10,2023-10,2023-10,10.9,紧凑型车,银/灰色,前置前驱, 2021 
本田CR-V 2013款 2.0L 四驱经典版,9.2, 2013,2013-07,2023-07,2023-07,9.88,紧凑型SUV,白色,前置四驱, 2013 
揽胜 2023款 4.4 V8 530PS 首发版,0.6, 2022,2022-07,2024-07,2023-07,276.8,中大型SUV,香槟/棕色,前置四驱, 2022 
高尔夫 2020款 280TSI DSG舒适型,4.1, 2020,2020-08,2024-08,2023-08,10.8,紧凑型车,白色,前置前驱, 2020 
思域 2019款 220TURBO CVT燃动版 国V,6.3, 2020,2020-03,2024-03,2024-03,10.5,紧凑型车,红/紫色,前置前驱, 2020 
朗逸 2018款 280TSI DSG舒适版 国V,5.7, 2019,2019-06,2023-06,2023-06,8.98,紧凑型车,白色,前置前驱, 2019 
路虎卫士 2020款 110 P400 暗黑特别版,4.2, 2020,2020-06,2024-06,2023-06,77.8,中大型SUV,香槟/棕色,前置四驱, 2020 
一汽-大众CC 2013款 1.8TSI 豪华型,14, 2014,2014-07,2023-07,2023-07,9.38,中型车,白色,前置前驱, 2014 
北汽新能源EC3 2019款 灵动版,0.8, 2020,2020-10,2024-10,2023-10,4.98,微型车,白色,前置前驱, 2020 
科鲁兹 2016款 1.5L 自动豪华版,6.6, 2015,2015-05,2023-05,2023-05,4.98,紧凑型车,白色,前置前驱, 2015 
帕杰罗(进口) 2019款 3.8L 中东版,7, 2020,2020-11,2024-11,2023-11,27.6,中大型SUV,黑色,前置四驱, 2020 
傲旋 2022款 2.0T AUXUN傲旋大白鲨,2.3, 2021,2021-06,2023-06,2023-06,69.8,紧凑型SUV,黑色,前置前驱, 2021 
坦克300 2021款 越野版 2.0T 征服者,5.2, 2021,2021-01,2025-01,2024-01,20.9,紧凑型SUV,黄/橙色,前置四驱, 2021 
凯美瑞 2021款 双擎 2.5HG 豪华版,5, 2021,2021-03,2023-03,2023-03,18.98,中型车,白色,前置前驱, 2021 
奔驰E级 2017款 E 200 运动型,3.07, 2017,2017-03,2024-03,2024-03,25.9,中大型车,白色,前置后驱, 2017 
宝马5系 2018款 改款 530Li 领先型 豪华套装,9.8, 2018,2018-07,2024-07,2023-07,25.9,中大型车,白色,前置后驱, 2018 
揽胜极光 2015款 2.0T 五门锐动版,8.2, 2016,2016-06,2023-06,2023-06,15.46,中型SUV,白色,前置四驱, 2016 
小蚂蚁 2018款 400 4座智享版,4.1, 2018,2018-09,2024-09,2023-09,3.98,微型车,蓝色,后置后驱, 2018 
Sprinter 2019款 3.5L 自动,3.9, 2019,2019-09,2023-09,2023-09,55.8,中大型SUV,黑色,前置后驱, 2019 
宝马1系进口 2013款 改款 116i 领先型,11, 2013,2013-07,2023-07,2023-07,7.38,紧凑型车,白色,前置后驱, 2013 
沃尔沃S60 2023款 B4 智逸豪华版,0.26, 2022,2022-08,2024-08,2023-08,21.3,中型车,香槟/棕色,前置前驱, 2022 
坦克300 2021款 越野版 2.0T 征服者,2.7, 2022,2022-01,2024-01,2024-01,20.66,紧凑型SUV,黑色,前置四驱, 2022 
帝豪新能源 2017款 EV300 精英型,11.3, 2017,2017-12,2023-12,2023-12,3.98,紧凑型车,白色,前置前驱, 2017 
奔驰G级 2022款 G 500,0.7, 2022,2022-05,2024-05,2023-05,229.8,中大型SUV,银/灰色,前置四驱, 2022 
奥迪A6进口 2015款 3.0T allroad quattro,11.3, 2016,2016-01,2024-01,2024-01,23.8,中大型车,白色,前置四驱, 2016 
雷克萨斯LM 2020款 300h 七座隽雅版,1.5, 2021,2021-07,2023-07,2023-07,143.8,中大型车,黑色,前置四驱, 2021 
RAV4荣放 2022款 双擎 2.5L E-CVT两驱精英版,1.6, 2021,2021-03,2025-03,2024-03,18.5,紧凑型SUV,白色,前置前驱, 2021 
英菲尼迪G系 2013款 G25 Sedan 豪华运动版,11.9, 2014,2014-03,2024-03,2024-03,8.98,中型车,白色,前置后驱, 2014 
途锐 2019款 3.0TSI 锐锋版 国V,1.92, 2020,2020-01,2024-01,2024-01,48.5,中大型SUV,黑色,前置四驱, 2020 
奥迪RS 6 2018款 RS 6 4.0T Avant尊享运动限量版,4.3, 2018,2018-11,2024-11,2023-11,81.8,中大型车,银/灰色,前置四驱, 2018 
凯美瑞 2018款 2.0G 豪华版,11, 2018,2018-08,2024-08,2023-08,11.98,中型车,黑色,前置前驱, 2018 
甲壳虫 2014款 1.2TSI 时尚型,8, 2016,2016-03,2024-03,2024-03,9.94,紧凑型车,红/紫色,前置前驱, 2016 
宝马5系 2022款 530Li 领先型 M运动套装,1.9, 2022,2022-10,2024-10,2023-10,41.69,中大型车,白色,前置后驱, 2022 
雷克萨斯GX 2022款 4.6L 美规版,0.47, 2022,2022-10,2024-10,2023-09,96.9,中大型SUV,白色,前置四驱, 2022 
雷克萨斯GX 2021款 460 美规版,0.44, 2023,2023-01,2025-01,2024-01,95.9,中大型SUV,白色,前置四驱, 2023 
宝马4系 2022款 430i Gran Coupe M运动曜夜套装,0.03, 2023,2023-03,2025-03,2024-03,47.5,中型车,白色,前置后驱, 2023 
宝马5系 2021款 525Li 豪华套装,4.38, 2021,2021-01,2025-01,2024-01,34.98,中大型车,白色,前置后驱, 2021 
宝马X3 2018款 xDrive30i 领先型 M运动套装 国V,7.58, 2019,2019-03,2025-03,2024-03,27.98,中型SUV,蓝色,前置四驱, 2019 
宝马3系 2017款 320Li 时尚型,5, 2017,2017-06,2023-06,2023-06,15.98,中型车,绿色,前置后驱, 2017 
途昂 2022款 380TSI 四驱尊崇豪华版,1.7, 2022,2022-05,2024-05,2023-05,29.98,中大型SUV,黑色,前置四驱, 2022 
牧马人 2022款 2.0T 高地四门版,1.2, 2022,2022-02,2024-02,2024-02,44.7,中型SUV,银/灰色,前置四驱, 2022 
揽胜 2017款 3.0T 美规版,9.97, 2018,2018-11,2024-11,2023-11,79.8,中大型SUV,白色,前置四驱, 2018 
赛那SIENNA 2021款 2.5L混动 铂金版,0.66, 2023,2023-02,2025-02,2024-02,43.5,中大型车,白色,前置前驱, 2023 
奥迪Q7 2021款 45 TFSI quattro S line运动型,5.29, 2021,2021-03,2025-03,2024-03,49.9,中大型SUV,黑色,前置四驱, 2021 
宝马X6 2022款 改款二 xDrive40i 尊享型 M运动套装,0.25, 2023,2023-01,2025-01,2024-01,81.9,中大型SUV,黑色,前置四驱, 2023 
Mustang 2020款 2.3T 欧规版,0.19, 2022,2022-07,2024-07,2023-07,27.5,跑车,红/紫色,前置后驱, 2022 
FJ 酷路泽 2018款 4.0L 中东版,4.48, 2019,2019-07,2023-07,2023-07,44.8,中型SUV,蓝色,前置四驱, 2019 
奥迪A8 2021款 A8L 50 TFSI quattro 舒适型,3.83, 2021,2021-07,2023-07,2023-07,61.9,大型车,黑色,前置四驱, 2021 
航海家 2021款 2.7T 四驱尊耀版,2.1, 2021,2021-10,2023-10,2023-10,31.5,中型SUV,黑色,前置四驱, 2021 
兰德酷路泽(进口) 2017款 4.0L 中东版,6.28, 2017,2017-05,2023-05,2023-05,63.8,中大型SUV,黑色,前置四驱, 2017 
途乐 2018款 4.0L 领英型,8, 2020,2020-01,2024-01,2024-01,35.5,大型SUV,白色,前置四驱, 2020 
普拉多 2010款 4.0L 自动VX NAVI,18.8, 2011,2011-12,2023-12,2023-12,32.3,中大型SUV,白色,前置四驱, 2011 
揽胜 2023款 3.0 L6 400PS 盛世加长版,0.17, 2022,2022-07,2024-07,2023-06,179.9,中大型SUV,黑色,前置四驱, 2022 
宝马3系 2020款 325Li M运动套装,4, 2020,2020-12,2024-12,2023-12,24.59,中型车,蓝色,前置后驱, 2020 
传祺M8 2020款 领航款 390T 尊贵版,5.7, 2020,2020-05,2024-05,2023-05,16.8,中大型车,黑色,前置前驱, 2020 
奥迪Q5L Sportback 2022款 45 TFSI 豪华型,1.27, 2022,2022-08,2024-08,2023-08,34.3,中型SUV,银/灰色,前置四驱, 2022 
宝马7系 2019款 改款 740Li 领先型 M运动套装,3.64, 2020,2020-09,2024-09,2023-09,68.5,大型车,黑色,前置后驱, 2020 
奥迪A8 2022款 A8L 55 TFSI quattro 豪华型典藏版,0.51, 2022,2022-03,2024-03,2024-03,81.9,大型车,黑色,前置四驱, 2022 
途乐Y62 2020款 4.0L 中东版,2.95, 2020,2020-07,2024-07,2023-07,47.5,大型SUV,白色,前置四驱, 2020 
途乐Y62 2020款 4.0L 中东版,4.58, 2020,2020-11,2024-11,2024-01,44.5,大型SUV,白色,前置四驱, 2020 
保时捷718 2020款 Boxster 2.0T,2.5, 2021,2021-08,2023-08,2023-08,60.9,跑车,白色,中置后驱, 2021 
宝马X3 2019款 xDrive28i 豪华套装,8.4, 2019,2019-07,2023-07,2023-07,27.39,中型SUV,白色,前置四驱, 2019 
宝马X5 M 2015款 X5 M,4.7, 2018,2018-04,2024-04,2024-04,62.8,中大型SUV,银/灰色,前置四驱, 2018 
揽胜 2021款 3.0T 欧规版,3.65, 2022,2022-01,2024-01,2024-01,164.8,中大型SUV,黑色,前置四驱, 2022 
奥迪A8 2022款 A8L 50 TFSI quattro 豪华型典藏版,0.85, 2022,2022-04,2024-04,2023-05,73.8,大型车,黑色,前置四驱, 2022 
雷克萨斯GX 2019款 4.6L 中东版,3.34, 2019,2019-06,2023-06,2023-06,76.9,中大型SUV,银/灰色,前置四驱, 2019 
赛那SIENNA 2021款 2.5L混动 铂金版,1.44, 2022,2022-03,2024-03,2024-03,40.28,中大型车,蓝色,前置前驱, 2022 
路虎卫士 2022款 110 P400 暗黑特别版,1.88, 2022,2022-01,2024-01,2024-01,89.8,中大型SUV,银/灰色,前置四驱, 2022 
奥迪Q7 2021款 45 TFSI quattro S line运动型,0.4, 2021,2021-07,2023-07,2023-07,55.6,中大型SUV,黑色,前置四驱, 2021 
牧马人 2021款 2.0T 罗宾汉四门版,0.67, 2022,2022-01,2024-01,2023-05,53.8,中型SUV,银/灰色,前置四驱, 2022 
宝马X6 2021款 xDrive30i M运动套装,1.95, 2021,2021-03,2025-03,2024-03,61.0,中大型SUV,白色,前置四驱, 2021 
奔驰GLE 2021款 2.0T 美规版,1.59, 2022,2022-03,2024-03,2024-03,69.9,中大型SUV,黑色,前置四驱, 2022 
Panamera 2021款 Panamera 2.9T,1.12, 2022,2022-02,2024-02,2024-02,119.9,大型车,银/灰色,前置后驱, 2022 
别克GL8 2022款 ES陆尊 653T 旗舰型,2.84, 2022,2022-11,2024-11,2023-11,37.9,中大型车,白色,前置前驱, 2022 
宝马X6 2021款 xDrive40i M运动套装,2.33, 2022,2022-01,2024-01,2024-01,69.8,中大型SUV,蓝色,前置四驱, 2022 
保时捷911 2020款 Carrera 3.0T,1.15, 2021,2021-08,2023-08,2023-08,119.0,跑车,白色,后置后驱, 2021 
高合HiPhi X 2021款 旗舰版6座,1.68, 2021,2021-12,2023-12,2023-12,44.9,中大型SUV,黄/橙色,双电机四驱, 2021 
奔驰V级 2020款 V 260 尊贵版,2.8, 2021,2021-01,2025-01,2024-01,46.5,中大型SUV,黑色,前置后驱, 2021 
帕杰罗(进口)V97 2018款 3.8L 中东版,7.5, 2018,2018-07,2024-07,2023-04,24.9,中大型SUV,白色,前置四驱, 2018 
发现 2023款 改款 360PS R-Dynamic S,0.01, 2023,2023-03,2025-03,2023-05,66.9,中大型SUV,白色,前置四驱, 2023 
奥迪Q7 2021款 45 TFSI quattro S line运动型,1.8, 2021,2021-07,2023-07,2023-07,52.9,中大型SUV,黑色,前置四驱, 2021 
奥迪A6L 2019款 45 TFSI 臻选动感型,4.9, 2019,2019-11,2023-11,2023-11,30.9,中大型车,黑色,前置前驱, 2019 
雷克萨斯LX 2019款 570 尊贵豪华版,2.9, 2020,2020-01,2024-01,2024-01,169.9,大型SUV,白色,前置四驱, 2020 
宝马X5进口 2021款 改款 xDrive40i 尊享型 M运动套装,3.04, 2021,2021-09,2023-09,2023-09,71.9,中大型SUV,蓝色,前置四驱, 2021 
奔驰GLE 2020款 改款 GLE 350 4MATIC 时尚型,3.7, 2020,2020-05,2024-05,2023-05,62.3,中大型SUV,黑色,前置四驱, 2020 
雷克萨斯LX 2019款 570 动感豪华版,2.68, 2019,2019-05,2023-05,2023-05,152.5,大型SUV,黑色,前置四驱, 2019 
奥迪Q7 2021款 45 TFSI quattro S line运动型,2.35, 2021,2021-04,2023-04,2023-04,51.9,中大型SUV,黑色,前置四驱, 2021 
宝马6系GT 2021款 改款 630i M运动套装,0.42, 2023,2023-02,2025-02,2023-12,53.9,中大型车,白色,前置后驱, 2023 
奥迪A6L 2021款 45 TFSI 臻选致雅型,4.7, 2021,2021-09,2023-09,2023-09,33.5,中大型车,黑色,前置前驱, 2021 
牧马人 2019款 2.0T Sahara 四门版 国V,2, 2020,2020-01,2024-01,2023-11,40.9,中型SUV,银/灰色,前置四驱, 2020 
奔驰GLE 2021款 GLE 350 4MATIC 动感型,2.8, 2021,2021-01,2025-01,2024-01,62.3,中大型SUV,黑色,前置四驱, 2021 
牧马人 2021款 2.0T 撒哈拉四门版,3.8, 2021,2021-05,2023-05,2023-05,41.9,中型SUV,银/灰色,前置四驱, 2021 
角斗士 2022款 3.6L 先行版,0.01, 2023,2023-03,2025-03,2023-03,44.9,皮卡,红/紫色,前置四驱, 2023 
角斗士 2022款 3.6L 先行版,0.01, 2023,2023-03,2025-03,2023-03,43.9,皮卡,红/紫色,前置四驱, 2023 
沃尔沃XC90 2021款 B5 智行豪华版 7座,4.4, 2021,2021-04,2023-04,2023-03,41.9,中大型SUV,黑色,前置四驱, 2021 
揽胜 2022款 3.0 L6 400PS 传世加长经典版,1.46, 2022,2022-01,2024-01,2024-01,143.8,中大型SUV,蓝色,前置四驱, 2022 
揽胜 2020款 3.0 L6 传世版,2.1, 2021,2021-01,2025-01,2024-01,120.8,中大型SUV,白色,前置四驱, 2021 
宝马5系 2022款 改款 530Li 领先型 M运动套装,0.78, 2022,2022-01,2024-01,2024-01,40.9,中大型车,白色,前置后驱, 2022 
奥迪Q7 2013款 35 TFSI 进取型,16.65, 2013,2013-03,2023-03,2023-03,18.38,中大型SUV,黑色,前置四驱, 2013 
宝马X5 M 2020款 X5 M,1.6, 2021,2021-02,2025-02,2024-02,109.0,中大型SUV,银/灰色,前置四驱, 2021 
宝马X5进口 2022款 xDrive30i M运动套装,0.6, 2022,2022-02,2024-02,2024-02,60.9,中大型SUV,白色,前置四驱, 2022 
路虎卫士 2020款 110 P400 HSE,1.7, 2020,2020-07,2024-07,2023-07,77.0,中大型SUV,香槟/棕色,前置四驱, 2020 
唐新能源 2021款 DM-i 112KM 尊荣型,2.3, 2021,2021-10,2023-10,2023-10,16.98,中型SUV,银/灰色,前置前驱, 2021 
宝马3系 2020款 改款 325i M运动曜夜套装,2.8, 2020,2020-09,2024-09,2023-09,25.78,中型车,蓝色,前置后驱, 2020 
途昂 2017款 380TSI 四驱旗舰版,11, 2017,2017-11,2023-11,2023-11,18.98,中大型SUV,白色,前置四驱, 2017 
奔驰GLA 2022款 GLA 200,1.58, 2021,2021-10,2023-10,2023-10,21.68,紧凑型SUV,白色,前置前驱, 2021 
哈弗H6 2018款 蓝标 运动版 1.5T 自动两驱精英型,5.4, 2019,2019-04,2025-04,2024-04,6.98,紧凑型SUV,黑色,前置前驱, 2019 
迈锐宝XL 2020款 535T CVT锐动版,3.4, 2021,2021-04,2025-04,2024-04,9.38,中型车,银/灰色,前置前驱, 2021 
奔驰C级 2022款 C 200 L 运动版,1.9, 2022,2022-03,2024-03,2024-03,27.98,中型车,白色,前置后驱, 2022 
奥迪A4L 2017款 Plus 40 TFSI 时尚型,6.01, 2017,2017-06,2023-06,2023-06,16.2,中型车,香槟/棕色,前置前驱, 2017 
海豚 2021款 405km 时尚版,1.9, 2022,2022-02,2024-02,2024-02,9.2,小型车,银/灰色,前置前驱, 2022 
兰德酷路泽(进口) 2019款 4.0L 中东版,5.7, 2019,2019-07,2023-07,2023-07,67.88,中大型SUV,白色,前置四驱, 2019 
凯迪拉克XTS 2018款 28T 技术型,5.7, 2019,2019-03,2025-03,2024-03,16.5,中大型车,黑色,前置前驱, 2019 
昂科威 2016款 20T 两驱领先型,12.5, 2015,2015-10,2023-10,2023-10,7.6,中型SUV,红/紫色,前置前驱, 2015 
领克02 2018款 1.5T DCT两驱耀Pro版 国V,4, 2018,2018-08,2024-08,2023-08,8.18,紧凑型SUV,银/灰色,前置前驱, 2018 
途乐 2018款 4.0L 领英型,10, 2017,2017-06,2023-06,2023-06,30.2,大型SUV,白色,前置四驱, 2017 
本田XR-V 2015款 1.8L VTi CVT豪华版,4, 2016,2016-10,2023-10,2023-10,8.68,小型SUV,蓝色,前置前驱, 2016 
柯迪亚克 2017款 TSI330 5座两驱豪华版,9.4, 2017,2017-06,2023-06,2023-06,9.88,中型SUV,白色,前置前驱, 2017 
埃尔法 2015款 3.5L 尊贵版,9, 2016,2016-08,2023-08,2023-08,68.68,中型SUV,白色,前置前驱, 2016 
宝马X1 2020款 sDrive25Li 领先型,3, 2021,2021-07,2023-07,2023-07,20.28,紧凑型SUV,蓝色,前置前驱, 2021 
奥迪A6L 2022款 45 TFSI 臻选动感型,4.4, 2022,2022-02,2024-02,2024-02,34.98,中大型车,黑色,前置前驱, 2022 
奔驰S级 2022款 S 450 L 4MATIC,0.9, 2021,2021-12,2023-12,2023-12,111.9,大型车,黑色,前置四驱, 2021 
帕萨特 2017款 330TSI DSG尊荣版,5.9, 2018,2018-04,2024-04,2024-04,11.6,中型车,黑色,前置前驱, 2018 
发现 2020款 3.0 SC V6 30周年特别版,1.9, 2021,2021-01,2025-01,2024-01,52.98,中大型SUV,银/灰色,前置四驱, 2021 
宝来 2018款 1.5L 自动时尚型,9, 2017,2017-11,2023-11,2023-11,6.5,紧凑型车,白色,前置前驱, 2017 
福克斯 2012款 两厢 1.6L 自动风尚型,10, 2014,2014-06,2023-06,2023-06,2.98,紧凑型车,黄/橙色,前置前驱, 2014 
马自达3 昂克赛拉 2016款 三厢 1.5L 自动豪华型,11, 2016,2016-08,2023-08,2023-08,6.8,紧凑型车,银/灰色,前置前驱, 2016 
宝骏510 2017款 1.5L 自动豪华型,3.6, 2018,2018-04,2024-04,2024-04,4.78,小型SUV,黄/橙色,前置前驱, 2018 
英朗 2017款 15N 自动精英型,9.4, 2017,2017-09,2023-09,2023-09,5.58,紧凑型车,白色,前置前驱, 2017 
索兰托 2013款 2.4L 7座汽油豪华版 国V,13, 2013,2013-08,2023-08,2023-08,6.88,中型SUV,蓝色,前置四驱, 2013 
Cayenne 2011款 Cayenne S 4.8L,16.3, 2013,2013-01,2024-01,2024-01,29.8,中大型SUV,香槟/棕色,前置四驱, 2013 
锐界 2018款 EcoBoost 245 四驱豪锐型 7座,8.8, 2018,2018-02,2024-02,2024-02,15.98,中型SUV,白色,前置四驱, 2018 
帕萨特 2017款 330TSI DSG尊荣版,8.7, 2018,2018-03,2024-03,2024-03,11.98,中型车,黑色,前置前驱, 2018 
宝马1系 2021款 125i M运动曜夜版,1.3, 2022,2022-03,2024-03,2024-03,16.68,紧凑型车,白色,前置前驱, 2022 
宝马X5(进口) 2015款 X5 美规版,10.7, 2016,2016-03,2023-03,2023-03,30.88,中大型SUV,白色,前置四驱, 2016 
奕泽E进擎 2020款 E·智享版,2.6, 2021,2021-01,2025-01,2024-01,11.58,小型SUV,白色,前置前驱, 2021 
东风本田X-NV 2020款 电掣版,4.2, 2019,2019-11,2023-11,2023-11,8.48,小型SUV,红/紫色,前置前驱, 2019 
